consumer	representation	selector	claim_class	disposition	replacement_authority	migration_package
evaluation/standards-effectiveness/suites/milestone-7-row-26-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-27-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-29-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-30-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-31-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-32-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-33-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-34-decomposition.toml	suite	plan	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-35-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-36-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-37-decomposition.toml	suite	plan	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-38-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-45-decomposition.toml	suite	row-45-accepted-parent-plan	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-46-decomposition.toml	suite	row-46-accepted-parent-plan	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-47-decomposition.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-6-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/native-artifact-loading.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/native-artifact-release.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/performance-owner-contract.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/planning-consolidation.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/platform-evidence-coverage.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/platform-target-policy.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/resilience-failure-boundaries.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/router-legacy-route-closure.toml	suite	parent-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/rust-async-blocking-mutex.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/rust-async-cancellation-observability.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/rust-binding-contract-discovery.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/rust-interop-memory.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/rust-target-configuration.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/source-index-closures.toml	suite	implementation-acceptance	historical-acceptance	remove-active-plan-consumption	checker-migration-packages.tsv:M6-I9+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/source-package-preparation.toml	suite	parent-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-acceptance-paths.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-async-evidence.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-concurrency-consolidation.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-coverage-documentation.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-data-lifecycle.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-focused-design.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-frontend-evidence.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-gates-diagnosis.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-language-binding-evidence.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-organization.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-performance-evidence.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-persisted-contract-artifacts.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-resilience-replay.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/testing-source-closure.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/typescript-owner-contract.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/verify-accessibility-focus-lifecycle.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-accessibility-interaction-semantics.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-accessibility-name-input.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-architecture-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-binding-contract-evolution.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-concurrency-policy.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-cross-language-contract.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-csharp-async-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-dependencies-population.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-dependency-standards-consolidation.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-frontend-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-generated-command-security.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-godot-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-input-validation-authority.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-interop-applicability-index.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-interop-event-registration.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-ipc-payload-validation.sh	shell	literal-parent-plan-reference	historical-acceptance,obsolete-orchestration	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-language-binding-boundary.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-language-binding-mechanism-selection.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-language-binding-wire-representation.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-language-profile-routing.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-launcher-population.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-accelerated-execution-replan.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	shell	literal-parent-plan-reference	historical-acceptance,obsolete-orchestration,duplicated-structure-gate	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-f022-f023-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance,obsolete-orchestration	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-f025-f026-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance,obsolete-orchestration,duplicated-structure-gate	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-13-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-15-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-18-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-28-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-39-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-40-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-41-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-42-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-43-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-5-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-7-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-row-8-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh	shell	literal-parent-plan-reference	historical-acceptance,obsolete-orchestration,duplicated-structure-gate	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	shell	literal-parent-plan-reference	historical-acceptance,obsolete-orchestration,duplicated-structure-gate	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-network-transport-policy.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-release-build-procedure.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-resilience-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-resilience-recovery-policy.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-runtime-decoding-policy.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-async-boundary.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-async-lifecycle.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-architecture.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-artifact-selection.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-callback-task.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-conversions.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-core-adapter-testability.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-enum-representation.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-event-delivery.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-executor-delegation.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-index-closure.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-runtime.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-binding-workspace-evidence.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-boundary-arithmetic.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-external-input-queue.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-filesystem-authority.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-listener-lifecycle.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-security-panic-boundary.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-rust-wire-representation.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-typescript-async-owner-contract.sh	shell	literal-parent-plan-reference	historical-acceptance,duplicated-structure-gate	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
evaluation/standards-effectiveness/verify-validation-proof-lifetime.sh	shell	literal-parent-plan-reference	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C2
