case	phase	provider_delivery	local_work	work_owner	input_scope	in_flight	unregister_action	unregister_contract	unregister_outcome	order_contract	selected_order	observed_order	release	capability	fallback	expected
in-flight-delivery-unknown	unregistering	stopped	none	not-required	none	unknown	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	unknown	complete	available	none	typed-incomplete
unregistration-incomplete	unregistering	stopped	none	not-required	none	drain-complete	single	selected	incomplete	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	incomplete	complete	available	none	typed-incomplete
foreign-release-unavailable	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	incomplete	unavailable	available	none	typed-incomplete
active-unregistration-contract-missing	active	asynchronous	inline	callback-scope	current	none	none	missing	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	typed-incomplete
active-order-contract-missing	active	asynchronous	inline	callback-scope	current	none	none	selected	not-required	missing	not-required	not-required	not-required	available	none	typed-incomplete
released-complete	released	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	none	allow
released-with-active-delivery	released	asynchronous	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	none	typed-invalid
destruction-linked-cleanup	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	destruction-cleanup	typed-invalid
finalizer-linked-cleanup	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	finalizer-cleanup	typed-invalid
garbage-collection-cleanup	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	gc-cleanup	typed-invalid
silent-callback-drop	unregistering	stopped	none	not-required	none	unknown	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	unknown	complete	available	silent-drop	typed-incomplete
stale-registration-after-release	released	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	stale-registration	typed-invalid
wrong-thread-cleanup-retry	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	wrong-thread-retry	typed-invalid
alternate-event-mechanism	pre-registration	not-started	none	not-required	none	not-started	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	unavailable	alternate-event	typed-unavailable
detached-callback-work	active	asynchronous	outliving	missing	current	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	detached-work	typed-invalid
claim-successful-incomplete-cleanup	unregistering	stopped	none	not-required	none	incomplete	single	selected	incomplete	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	incomplete	incomplete	available	claim-cleanup	typed-incomplete
