oid	commit_disposition	reference	authority
1485c43fd0bf475d7e9f26a37b976325d79b18a7	archived-ref	refs/recovery/historical-worktrees/1485c43f	none
1548be1f596add1d77d41b7576d2458dbfc7c608	archived-ref	refs/recovery/historical-worktrees/1548be1f	none
16de934332e1d8268822a0180367d91f83db6940	archived-ref	refs/recovery/historical-worktrees/16de9343	none
183e061bd8699bc4bf961839ab914279779fdf9a	archived-ref	refs/recovery/historical-worktrees/183e061b	none
1a612437863b4e4effee8a8eb96680a07d32b39c	archived-ref	refs/recovery/historical-worktrees/1a612437	none
1a64c2141d391c51b65a66fe91b70a7206182191	archived-ref	refs/recovery/historical-worktrees/1a64c214	none
1a9b2e1d404a54dbbe2613364131dd73c44d577a	archived-ref	refs/recovery/historical-worktrees/1a9b2e1d	none
1c7d39a86cb0102ecb1a460e026b7b0db12eaf59	archived-ref	refs/recovery/historical-worktrees/1c7d39a8	none
1eb52f58eb44de73372432585eeca4240417c021	archived-ref	refs/recovery/historical-worktrees/1eb52f58	none
22024089bb911655afd4f0f023933fab97e80e42	archived-ref	refs/recovery/historical-worktrees/22024089	none
22d53b7d601eaea22fe25b44b9aeed13d7bcfcf1	archived-ref	refs/recovery/historical-worktrees/22d53b7d	none
2526282a39ab72a471f5ee5503cc5a2591f8c2a6	archived-ref	refs/recovery/historical-worktrees/2526282a	none
262e5a2ab59667894604cbe12e222b3a4aae1430	archived-ref	refs/recovery/historical-worktrees/262e5a2a	none
281f34561792854064a2e21e0fc8816eb71cf828	archived-ref	refs/recovery/historical-worktrees/281f3456	none
286dc75a1a017258d4124225accd537fb462dcd1	archived-ref	refs/recovery/historical-worktrees/286dc75a	none
29809b82a87f012c92cfb28d3aa60239b7d301dc	archived-ref	refs/recovery/historical-worktrees/29809b82	none
2aeeb54e500d5db3d732e227d22e28a9567eaa1b	archived-ref	refs/recovery/historical-worktrees/2aeeb54e	none
2b90a2ad8b5e6c75e0409d845429ea1e379e85e4	archived-ref	refs/recovery/historical-worktrees/2b90a2ad	none
2dc2879df9107eb245ab120f0ddb5da1e89b561d	archived-ref	refs/recovery/historical-worktrees/2dc2879d	none
2e1e101c51ee1d3a604c437cd32143110615a3bc	archived-ref	refs/recovery/historical-worktrees/2e1e101c	none
2ea8b9b833310b30d6234275839db17d18703d66	archived-ref	refs/recovery/historical-worktrees/2ea8b9b8	none
3089ae783f51f6d76f07b4411653a787d4deb651	archived-ref	refs/recovery/historical-worktrees/3089ae78	none
30e9c9bfdad2ba592e4766e03d976dd6f9ac4790	archived-ref	refs/recovery/historical-worktrees/30e9c9bf	none
3309ef01e14704b4cd367d73b0ee6ea145f9acc9	archived-ref	refs/recovery/historical-worktrees/3309ef01	none
34f9792edbfe6c0207029ea868844b2462c28ba6	archived-ref	refs/recovery/historical-worktrees/34f9792e	none
353bc08f24e9e04d09e2c4c84afe97a9fb538b32	archived-ref	refs/recovery/historical-worktrees/353bc08f	none
3779426d8389288d0feced0127a7b37e8c76879d	archived-ref	refs/recovery/historical-worktrees/3779426d	none
3d014c3b0ef2181452aaaaa570b21db10ab7e53a	archived-ref	refs/recovery/historical-worktrees/3d014c3b	none
3fa05479ded212364100946599874f642ab87cba	archived-ref	refs/recovery/historical-worktrees/3fa05479	none
42c3ab0e2feaee21e9eeb14ffa6917112c4afcff	archived-ref	refs/recovery/historical-worktrees/42c3ab0e	none
42dfd3e722f5b8ec6d46e255f20eb5eab777369b	archived-ref	refs/recovery/historical-worktrees/42dfd3e7	none
430d92688e2e06a0536f63cc23fd2b233fdb40ae	archived-ref	refs/recovery/historical-worktrees/430d9268	none
475e41ef4c42d807cb923fcb26024e9727fc8d2f	archived-ref	refs/recovery/historical-worktrees/475e41ef	none
47ac3db60b90e2b52f56974462dee1209ec71962	archived-ref	refs/recovery/historical-worktrees/47ac3db6	none
4f705747caaa6483e6a56f461f5f9784969e67e2	archived-ref	refs/recovery/historical-worktrees/4f705747	none
4ff2cfd0efee40aa7fe4bd8131da61426df2480b	archived-ref	refs/recovery/historical-worktrees/4ff2cfd0	none
5062fb32213bde137ced1844d5e02e83b5efa10d	archived-ref	refs/recovery/historical-worktrees/5062fb32	none
52541345c2418647df5af22d0d48dd32a7c93917	archived-ref	refs/recovery/historical-worktrees/52541345	none
53a6bcf9429d8b08940e9182b409a34bb434c6b5	archived-ref	refs/recovery/historical-worktrees/53a6bcf9	none
55bd1fe746c8b1c7e1bd2cdd7f8e47c0b0a4e458	archived-ref	refs/recovery/historical-worktrees/55bd1fe7	none
55d37c3f1e62d4ceb54309f2b045d6cbb77f0847	archived-ref	refs/recovery/historical-worktrees/55d37c3f	none
56d5aff6d9c68b8ea2bbac14a4224dfb23e44ea9	archived-ref	refs/recovery/historical-worktrees/56d5aff6	none
56ffb1119bf1a061b72e60d349fd74e8d97ba907	archived-ref	refs/recovery/historical-worktrees/56ffb111	none
571cbd4c5834636e6aa7f43dba89771d4572de0d	archived-ref	refs/recovery/historical-worktrees/571cbd4c	none
5af0b1a797d1d030376e5fcf0da3533e6cc5259b	archived-ref	refs/recovery/historical-worktrees/5af0b1a7	none
5b4751b1962ccf0d7c09be405571691cb829f175	archived-ref	refs/recovery/historical-worktrees/5b4751b1	none
5c63cd502ced0bf3c6d52c47362cbb887ddbc7fc	archived-ref	refs/recovery/historical-worktrees/5c63cd50	none
5ceb3d339b086d2463eba77d0576a009fc38bb3c	archived-ref	refs/recovery/historical-worktrees/5ceb3d33	none
5e17b41141ed6c5bb68a5102df95de39cb930e77	archived-ref	refs/recovery/historical-worktrees/5e17b411	none
5f2de05bdd6c4a51c7def0bcd9aa81c4be6d558e	archived-ref	refs/recovery/historical-worktrees/5f2de05b	none
6052c672ab1ad1335964ccf47d257d2b7990a756	archived-ref	refs/recovery/historical-worktrees/6052c672	none
6319a55759027fb6c718ef964220912f30ac05df	archived-ref	refs/recovery/historical-worktrees/6319a557	none
64a913a9af84114734e46ddf1de30beda1cf4811	archived-ref	refs/recovery/historical-worktrees/64a913a9	none
64ae38764f8e99ef0083d8d52a1afd7100f80bd0	archived-ref	refs/recovery/historical-worktrees/64ae3876	none
65e9dbf1f9f1e15d2d140c318306cbf508164e30	archived-ref	refs/recovery/historical-worktrees/65e9dbf1	none
67417cd21c1618c200b177b5e03f9157e99f9a2e	archived-ref	refs/recovery/historical-worktrees/67417cd2	none
693379a4ab35f28bd94a6ecc6235e597be40936c	archived-ref	refs/recovery/historical-worktrees/693379a4	none
6ac7f66f7c514502ddce5fffffd934809a678205	archived-ref	refs/recovery/historical-worktrees/6ac7f66f	none
6acf43acea1df0ef1485f899cfa78f194899db56	archived-ref	refs/recovery/historical-worktrees/6acf43ac	none
6b87f354e47901a51ba212acb2b169e1f1d90f9a	archived-ref	refs/recovery/historical-worktrees/6b87f354	none
6c323f6f001ec36c359a65b333358c57824b08ee	archived-ref	refs/recovery/historical-worktrees/6c323f6f	none
6cc2e14c099bc8642ae411546e6e4c7512e682ea	archived-ref	refs/recovery/historical-worktrees/6cc2e14c	none
6d28f96c396a7c9fb4291aa5113bcd0ab8e0c9cb	archived-ref	refs/recovery/historical-worktrees/6d28f96c	none
6e21cc46ea34f95d4019e7d9b007343900ed2884	archived-ref	refs/recovery/historical-worktrees/6e21cc46	none
6fd3ac5c5340c736d182626348fe6b55c2de2f32	archived-ref	refs/recovery/historical-worktrees/6fd3ac5c	none
70448ce56f0a10e0b48559c886161c64a250e1b7	archived-ref	refs/recovery/historical-worktrees/70448ce5	none
73bf4e9a9ff381222cf5a2b4453bec68dc0ab278	archived-ref	refs/recovery/historical-worktrees/73bf4e9a	none
7449db477c689141e1dfe1b143f0a0a90e71c716	archived-ref	refs/recovery/historical-worktrees/7449db47	none
74d462210e47d966e8b0d07043f91c408bb02401	archived-ref	refs/recovery/historical-worktrees/74d46221	none
75f613dcc346ee1ed08a039899fbf33f8a94d74e	archived-ref	refs/recovery/historical-worktrees/75f613dc	none
760351d368a2657636abff3384895c70ba52df29	archived-ref	refs/recovery/historical-worktrees/760351d3	none
764d18519a449957a1bfbb9487997c2fd88ea1b3	archived-ref	refs/recovery/historical-worktrees/764d1851	none
79323ea27ed311e0f2c53ddfae4f8dbb93ece555	archived-ref	refs/recovery/historical-worktrees/79323ea2	none
7a25bd85a33f2000295f0be95bd51d70fa1d1b77	archived-ref	refs/recovery/historical-worktrees/7a25bd85	none
7b5573ebba978273f9e2603a001f7d704f588400	archived-ref	refs/recovery/historical-worktrees/7b5573eb	none
7d74113aa8436d29b9c31f92d22f833bda74709b	archived-ref	refs/recovery/historical-worktrees/7d74113a	none
7dc3ddf2bb922a96cd561a7702b51f30408dddf8	archived-ref	refs/recovery/historical-worktrees/7dc3ddf2	none
7e2dd88bd5f8d8d31e248d9e23be7efaac832b15	archived-ref	refs/recovery/historical-worktrees/7e2dd88b	none
7fc8b373664f12f2ae681d6f14690c899653af44	archived-ref	refs/recovery/historical-worktrees/7fc8b373	none
804e53582d0cf3a9fd966c014efdfd4e4534ced3	archived-ref	refs/recovery/historical-worktrees/804e5358	none
809f2ddbe9423445c2aae6c90a59795d3cb6daba	archived-ref	refs/recovery/historical-worktrees/809f2ddb	none
80c145ad043be6deb03e88259cdf0360ee2e94cf	archived-ref	refs/recovery/historical-worktrees/80c145ad	none
815da425877dc7caa6872afcd16a3a5386af4b13	archived-ref	refs/recovery/historical-worktrees/815da425	none
821dec6445b674cfffe40b918d122cd97025ef1a	archived-ref	refs/recovery/historical-worktrees/821dec64	none
8318201fdd04fa5a1cc97b1258fc1b8b8fb83137	archived-ref	refs/recovery/historical-worktrees/8318201f	none
86b907303a68ef84260c75a82bccf8956e715faa	archived-ref	refs/recovery/historical-worktrees/86b90730	none
86d35ca1b7453f14b143773fc18a1587299d5db2	archived-ref	refs/recovery/historical-worktrees/86d35ca1	none
876b68ac5a11402e06c77d0be9dbb72c38ec38ad	archived-ref	refs/recovery/historical-worktrees/876b68ac	none
877d807631c5fd038368f7511cf208df4eddc3a0	archived-ref	refs/recovery/historical-worktrees/877d8076	none
883d554da4ed089b3d7fcebb850e4e2264375d8d	archived-ref	refs/recovery/historical-worktrees/883d554d	none
89584f65b348b65e964a749ef5cea9fde0875b90	archived-ref	refs/recovery/historical-worktrees/89584f65	none
8972a39fb39e243af371cc2a06b41139694aff40	archived-ref	refs/recovery/historical-worktrees/8972a39f	none
8a3edb06c061629428205a7437aeb945d5c686a2	archived-ref	refs/recovery/historical-worktrees/8a3edb06	none
8a9db721dbfbf24c36f966b4db6431d216c5d06f	archived-ref	refs/recovery/historical-worktrees/8a9db721	none
8d72ab3ee531fc17ffb30c8c798413695106188e	archived-ref	refs/recovery/historical-worktrees/8d72ab3e	none
8da6e812a233742965e819e6ccad55a31a04f013	archived-ref	refs/recovery/historical-worktrees/8da6e812	none
8e2d82869d32960e57b7eea872d72d56725ab966	archived-ref	refs/recovery/historical-worktrees/8e2d8286	none
905b7d8db1e2204f186dc511120331938786339d	archived-ref	refs/recovery/historical-worktrees/905b7d8d	none
9088f864ebfe15e282ed69235b8cfdad6842cac1	archived-ref	refs/recovery/historical-worktrees/9088f864	none
90a2b6739c93d5096b9c1a5b483f88b6f0992362	archived-ref	refs/recovery/historical-worktrees/90a2b673	none
9140457c36434343aa2e346d89ca8a71f21a9a31	archived-ref	refs/recovery/historical-worktrees/9140457c	none
9203442e347c8b95005a5597238d8e536461eca9	archived-ref	refs/recovery/historical-worktrees/9203442e	none
935196b50a3118efae110188b33687ac7e993971	archived-ref	refs/recovery/historical-worktrees/935196b5	none
93dd1d4b312aaa834bef9382678d3d1546176de9	archived-ref	refs/recovery/historical-worktrees/93dd1d4b	none
948182702d8b6e8bc1e869916a6ed7d5dbdee87f	archived-ref	refs/recovery/historical-worktrees/94818270	none
954aa77e8582d0ef75b8788d50642ff03e5ca912	archived-ref	refs/recovery/historical-worktrees/954aa77e	none
9658c18beb4ca710e7519e5467f02a8c18699d5a	archived-ref	refs/recovery/historical-worktrees/9658c18b	none
98cb81bff57bfeaf0648888ec59546cfff430224	archived-ref	refs/recovery/historical-worktrees/98cb81bf	none
9abb5f6df722214e80ece21cb3114734a81498a6	archived-ref	refs/recovery/historical-worktrees/9abb5f6d	none
9b11ff4ad2a603fb1064423a9fb51c2321add054	archived-ref	refs/recovery/historical-worktrees/9b11ff4a	none
9e67fe519babc2f3a8cdaa93c198e74e0e272601	archived-ref	refs/recovery/historical-worktrees/9e67fe51	none
a134456eb21ae75eb41a05015af0829960a6a4ce	archived-ref	refs/recovery/historical-worktrees/a134456e	none
a1a6b2fb462896bbec75803cb1ae069e9520e560	archived-ref	refs/recovery/historical-worktrees/a1a6b2fb	none
a57ab456f801adff1855ee0fcd4e4a26fc0bf983	archived-ref	refs/recovery/historical-worktrees/a57ab456	none
a6dbadd57639681863a8918d03901b2be31c8906	archived-ref	refs/recovery/historical-worktrees/a6dbadd5	none
a84a2a654677ddd2fad9367175254e4900d707c5	archived-ref	refs/recovery/historical-worktrees/a84a2a65	none
a983386fde2b2ad600a7cf71a1e07ef5c0b4bc85	archived-ref	refs/recovery/historical-worktrees/a983386f	none
a9acff7c37b9acc2d00c0ce0c312783d1e2bdd39	archived-ref	refs/recovery/historical-worktrees/a9acff7c	none
aae4debf9ed7e875faf90c44789a39f9699bcb7c	archived-ref	refs/recovery/historical-worktrees/aae4debf	none
ab19877d6850ddd0f7672904807a24e4a48a2039	archived-ref	refs/recovery/historical-worktrees/ab19877d	none
ad79580a1c37dfe59321af73a46c550e5ac6fcdb	archived-ref	refs/recovery/historical-worktrees/ad79580a	none
ad98d3a13e5662723f03b1865921bf02fda37d6d	archived-ref	refs/recovery/historical-worktrees/ad98d3a1	none
afd83f6370c1db3f6146413a947eaa0f76330304	archived-ref	refs/recovery/historical-worktrees/afd83f63	none
b1100ac3ede8b39a9f01e5f4f040256797f16c86	archived-ref	refs/recovery/historical-worktrees/b1100ac3	none
b1f9100a6502b942281796ab9e258681e2cc1ccb	archived-ref	refs/recovery/historical-worktrees/b1f9100a	none
b2e65d2762739fdda6abfde482b4dc1b3c715b8f	archived-ref	refs/recovery/historical-worktrees/b2e65d27	none
b341698d3e9eed3cb7ba13f8b68315f3bf1109f6	archived-ref	refs/recovery/historical-worktrees/b341698d	none
b349a2c44b94478efc4220f5618451820d191501	archived-ref	refs/recovery/historical-worktrees/b349a2c4	none
b61e024c4eb25d3b730dc47cdb51453b4bb0d2f0	archived-ref	refs/recovery/historical-worktrees/b61e024c	none
ba81cf71c0a8ffd4907ef931257799a4f380b278	archived-ref	refs/recovery/historical-worktrees/ba81cf71	none
bd1387c8731c4f32d543628225296eca5f21d3c1	archived-ref	refs/recovery/historical-worktrees/bd1387c8	none
bd1c392a4a6f2333612722d179c2bd4cadd2e3d7	archived-ref	refs/recovery/historical-worktrees/bd1c392a	none
bd498dd97dbf8dd30d124cc236d168242c323062	archived-ref	refs/recovery/historical-worktrees/bd498dd9	none
bfb9713fa596bf3c964cc90df3c04ba5f1d3d286	archived-ref	refs/recovery/historical-worktrees/bfb9713f	none
c2e30c9a2334f57523f286b6e747732c63838014	archived-ref	refs/recovery/historical-worktrees/c2e30c9a	none
c351b9d5808c1806165beb434e6a787c7141fc04	archived-ref	refs/recovery/historical-worktrees/c351b9d5	none
c5854ad816ac84856c2905ea9613f487cadce122	archived-ref	refs/recovery/historical-worktrees/c5854ad8	none
c5d7dc9cabe3045fa90c5e43de8880f9429e1eb7	archived-ref	refs/recovery/historical-worktrees/c5d7dc9c	none
c6cb34ef375f3701a5058bf18e595090267db359	archived-ref	refs/recovery/historical-worktrees/c6cb34ef	none
c6e947df7e3ace565b2df78865ed32360ca2e087	archived-ref	refs/recovery/historical-worktrees/c6e947df	none
c7175ad6bf7a46506534299dc1d9ec99fcac7cee	archived-ref	refs/recovery/historical-worktrees/c7175ad6	none
c7ccd79490b9301cde31e073dec1bf5ea70179ed	archived-ref	refs/recovery/historical-worktrees/c7ccd794	none
c7f5f65ec68288c23d2e716d2f5c68464e2b3760	archived-ref	refs/recovery/historical-worktrees/c7f5f65e	none
c89c03234af24c66cd6131341385adf2d4c5c1c4	archived-ref	refs/recovery/historical-worktrees/c89c0323	none
c9596855e205be822f1e0b6dadd574d703dc8042	archived-ref	refs/recovery/historical-worktrees/c9596855	none
c9e0c3280a8c8d34cdd699d7371f6bf2e41b9cbf	archived-ref	refs/recovery/historical-worktrees/c9e0c328	none
ca042fb99b7d9342d3b158c8da417303a8a0cb63	archived-ref	refs/recovery/historical-worktrees/ca042fb9	none
ca4fff418fcf46421053dce4de25f15970ee5dd4	archived-ref	refs/recovery/historical-worktrees/ca4fff41	none
cae918eb7627bd45ffc771faefbadffee79afe3d	archived-ref	refs/recovery/historical-worktrees/cae918eb	none
cb093d7f56b08387640db5f9df69ebf6867a13ea	archived-ref	refs/recovery/historical-worktrees/cb093d7f	none
cc5739b63a5efcd009d4a0baa706992ed8bb6026	archived-ref	refs/recovery/historical-worktrees/cc5739b6	none
cc8502947e4f7b0243a42fa7b5f9e9feb4985bae	archived-ref	refs/recovery/historical-worktrees/cc850294	none
cde186762505a7538ecc9484eca7005d41f33929	archived-ref	refs/recovery/historical-worktrees/cde18676	none
ce03749f5e8680ce4b1e62bd913391093d159dd7	archived-ref	refs/recovery/historical-worktrees/ce03749f	none
cfabcda15709b3aa72160ef6fc8202903a44ec28	archived-ref	refs/recovery/historical-worktrees/cfabcda1	none
cfd3a802f8808286e2128009c9030ca963d29d8f	archived-ref	refs/recovery/historical-worktrees/cfd3a802	none
d094f617bfca9c835fcac18e6cb89a968d17ffe9	archived-ref	refs/recovery/historical-worktrees/d094f617	none
d2716b4c9a0957a458a51f73769d9e047b757a43	archived-ref	refs/recovery/historical-worktrees/d2716b4c	none
d32134152277704c3fd5a63a38bd842b7fa94f97	archived-ref	refs/recovery/historical-worktrees/d3213415	none
d43c2dc840eaa55908f0723f0b472db4751945db	archived-ref	refs/recovery/historical-worktrees/d43c2dc8	none
d5900d5a57eafd056c19607143824aae57cba9c6	archived-ref	refs/recovery/historical-worktrees/d5900d5a	none
d639f21159ad97fe1c4a94c0c44ddc1a189d0253	archived-ref	refs/recovery/historical-worktrees/d639f211	none
d7d9c4c6a338c7ed88dcf204187aaed5d3b3982c	archived-ref	refs/recovery/historical-worktrees/d7d9c4c6	none
d8c80f3eeaa3f7a3ab3c36e25d51855132bb65c8	archived-ref	refs/recovery/historical-worktrees/d8c80f3e	none
d8fca160ed859c0a0e9ac7c840c45e8755f3e0d3	archived-ref	refs/recovery/historical-worktrees/d8fca160	none
db5c9c1e018952d6ab3a3920c1dbd278e3ce7b0a	archived-ref	refs/recovery/historical-worktrees/db5c9c1e	none
ddb2e2dac0d92377c92ecb9d8753dd5c08bcf7a1	archived-ref	refs/recovery/historical-worktrees/ddb2e2da	none
ddd6aabec98e691a0f06276c13d89f4353206995	archived-ref	refs/recovery/historical-worktrees/ddd6aabe	none
de1f73493410ec3044863cf16670e0e9ed67bb58	archived-ref	refs/recovery/historical-worktrees/de1f7349	none
de8184b6ab2aeccb516b050e34658f13b780e2e6	archived-ref	refs/recovery/historical-worktrees/de8184b6	none
ded5c2248736043d818a5bb67da086399a3bb7f4	archived-ref	refs/recovery/historical-worktrees/ded5c224	none
e173989c9cfcdfbc293f7d7389fcef436b9a126a	archived-ref	refs/recovery/historical-worktrees/e173989c	none
e6b3ab9a288b70dec04fdd9d4c8497b74975d8f9	archived-ref	refs/recovery/historical-worktrees/e6b3ab9a	none
e8769e174c9185eaf55c8b57b5b63dfd6ab9fea9	archived-ref	refs/recovery/historical-worktrees/e8769e17	none
e8c536743d59e3aac93b15875ed2196b7c4367b5	archived-ref	refs/recovery/historical-worktrees/e8c53674	none
ea6bcfadaaa97bfcba96b859069afe0fd42fe592	archived-ref	refs/recovery/historical-worktrees/ea6bcfad	none
f06663e3449436bbda3e17c07250db8634b6ba64	archived-ref	refs/recovery/historical-worktrees/f06663e3	none
f122d6e9fb64b9dcd4c5c89c5f422ebbcec7f413	archived-ref	refs/recovery/historical-worktrees/f122d6e9	none
f1a310d96306f8d72ea1b1ed5e5fed04fa78d666	archived-ref	refs/recovery/historical-worktrees/f1a310d9	none
f1a7a6901d1198f307ae07934d1420bef8aac335	archived-ref	refs/recovery/historical-worktrees/f1a7a690	none
f2c3de58b98d7b3e7018cf9d200fe8b988fda721	archived-ref	refs/recovery/historical-worktrees/f2c3de58	none
f4975175800a630e12e774e8b2f72f489a8c7e69	archived-ref	refs/recovery/historical-worktrees/f4975175	none
f7acddf60cd39c3d2e36477b13e5d0c5d73a4d9b	archived-ref	refs/recovery/historical-worktrees/f7acddf6	none
f7e67ec521b6977bfa90c15f2fefd585c41b753f	archived-ref	refs/recovery/historical-worktrees/f7e67ec5	none
f8286140be1f5af723368c010b022c513908c8bf	archived-ref	refs/recovery/historical-worktrees/f8286140	none
f940262f9b6530bc2c2448de325c00ecc054736b	archived-ref	refs/recovery/historical-worktrees/f940262f	none
faa267460340fb1c7affeb417bad6a579afd5659	archived-ref	refs/recovery/historical-worktrees/faa26746	none
fae932437bdee87a70892d9cb834dd2aeb46c4fd	archived-ref	refs/recovery/historical-worktrees/fae93243	none
fbb632347016d9edcccad1048e53480e712be72c	archived-ref	refs/recovery/historical-worktrees/fbb63234	none
fc6b1a34d69523aed164a4e01d575c8f64e98d13	archived-ref	refs/recovery/historical-worktrees/fc6b1a34	none
ffc01c8a47d73a967f1b89edaf3addc5f2b6e471	archived-ref	refs/recovery/historical-worktrees/ffc01c8a	none
