order	wave	start_id	end_id	source	owner	owner_state	activation	checkpoint
20	process-dependencies	STD-0706	STD-0716	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused
21	process-dependencies	STD-0731	STD-0751	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused
22	process-dependencies	STD-0810	STD-0820	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused
23	process-dependencies	STD-0831	STD-0842	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused
24	process-dependencies	STD-0849	STD-0851	prompts/full-codebase-standards-refactor.md	workflows/planning.md	exists	pre-slice-review	focused
25	process-dependencies	STD-0852	STD-0858	prompts/implement-plan.md	workflows/implementation.md	exists	pre-slice-review	focused
26	process-dependencies	STD-0859	STD-0887	templates/PLAN-TEMPLATE.md	workflows/planning.md	exists	pre-slice-review	focused
27	process-dependencies	STD-0888	STD-0898	templates/PULL_REQUEST_TEMPLATE.md	workflows/implementation.md	exists	pre-slice-review	full-suite
28	application-boundaries	STD-0007	STD-0026	ACCESSIBILITY-STANDARDS.md	topics/accessibility.md	missing	owner-review	focused
29	application-boundaries	STD-0046	STD-0050	ARCHITECTURE-PATTERNS.md	topics/contracts.md	exists	pre-slice-review	focused
30	application-boundaries	STD-0055	STD-0062	ARCHITECTURE-PATTERNS.md	topics/contracts.md	exists	pre-slice-review	focused
31	application-boundaries	STD-0089	STD-0092	ARCHITECTURE-PATTERNS.md	topics/diagnostics.md	missing	owner-review	focused
32	application-boundaries	STD-0106	STD-0118	ARCHITECTURE-PATTERNS.md	profiles/boundaries/persistence.md	missing	owner-review	focused
33	application-boundaries	STD-0126	STD-0133	ARCHITECTURE-PATTERNS.md	topics/contracts.md	exists	pre-slice-review	focused
34	application-boundaries	STD-0449	STD-0464	FRONTEND-STANDARDS.md	profiles/applications/frontend.md	exists	owner-review	full-suite
35	reference-index-closure	STD-0001	STD-0006	README.md	STANDARDS-ROUTER.md	exists	final-closure	focused
36	reference-index-closure	STD-0027	STD-0045	ARCHITECTURE-PATTERNS.md	reference/patterns/architecture.md	missing	owner-review	focused
37	reference-index-closure	STD-0069	STD-0087	ARCHITECTURE-PATTERNS.md	reference/patterns/architecture.md	missing	owner-review	focused
38	reference-index-closure	STD-0088	STD-0088	ARCHITECTURE-PATTERNS.md	workflows/documentation.md	exists	pre-slice-review	focused
39	reference-index-closure	STD-0093	STD-0105	ARCHITECTURE-PATTERNS.md	reference/patterns/architecture.md	missing	owner-review	focused
40	reference-index-closure	STD-0134	STD-0134	ARCHITECTURE-PATTERNS.md	reference/patterns/architecture.md	missing	owner-review	focused
41	reference-index-closure	STD-0349	STD-0349	DOCUMENTATION-STANDARDS.md	workflows/documentation.md	exists	final-closure	focused
42	reference-index-closure	STD-0582	STD-0582	SECURITY-STANDARDS.md	topics/security.md	exists	final-closure	focused
43	reference-index-closure	STD-0758	STD-0758	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	final-closure	focused
44	reference-index-closure	STD-0821	STD-0821	languages/rust/RUST-SECURITY-STANDARDS.md	profiles/languages/rust/security.md	exists	final-closure	focused
45	reference-index-closure	STD-0704	STD-0705	languages/README.md	STANDARDS-ROUTER.md	exists	final-closure	focused
46	reference-index-closure	STD-0827	STD-0830	languages/rust/RUST-STANDARDS.md	profiles/languages/rust/README.md	exists	final-closure	focused
47	reference-index-closure	STD-0899	STD-0916	templates/README-TEMPLATE.md	workflows/documentation.md	exists	pre-slice-review	full-suite
