edge_type	source	target
contract_reference	evaluation/standards-effectiveness/milestone-7-row-35-transitive-contract-callers.tsv	evaluation/standards-effectiveness/verify-contract-ownership.sh
contract_reference	evaluation/standards-effectiveness/milestone-7-row-35-transitive-contract-callers.tsv	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh
contract_reference	evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv	evaluation/standards-effectiveness/verify-concurrency-policy.sh
contract_reference	evaluation/standards-effectiveness/policy-impact-node-catalog.toml	evaluation/standards-effectiveness/check-plan-structure.sh
contract_reference	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	evaluation/standards-effectiveness/check-plan-structure.sh
contract_reference	evaluation/standards-effectiveness/policy-impact/workflow.planning.toml	evaluation/standards-effectiveness/check-plan-structure.sh
contract_reference	evaluation/standards-effectiveness/suites/errexit-zero-accumulation.toml	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh
contract_reference	evaluation/standards-effectiveness/suites/evidence-oracle-boundaries.toml	evaluation/standards-effectiveness/check-plan-structure.sh
contract_reference	evaluation/standards-effectiveness/suites/evidence-oracle-boundaries.toml	evaluation/standards-effectiveness/verify-plan-fixtures.sh
contract_reference	evaluation/standards-effectiveness/suites/milestone-7-row-35-decomposition.toml	evaluation/standards-effectiveness/verify-contract-ownership.sh
contract_reference	evaluation/standards-effectiveness/suites/milestone-7-row-35-decomposition.toml	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh
contract_reference	evaluation/standards-effectiveness/suites/planning-consolidation.toml	evaluation/standards-effectiveness/check-plan-structure.sh
contract_reference	evaluation/standards-effectiveness/suites/systemic-finding-replanning.toml	evaluation/standards-effectiveness/check-plan-structure.sh
contract_reference	evaluation/standards-effectiveness/suites/systemic-finding-replanning.toml	evaluation/standards-effectiveness/verify-plan-fixtures.sh
executable_reference	evaluation/standards-effectiveness/verify-concurrency-policy.sh	evaluation/standards-effectiveness/check-metadata.sh
executable_reference	evaluation/standards-effectiveness/verify-concurrency-policy.sh	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh
executable_reference	evaluation/standards-effectiveness/verify-concurrency-policy.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
executable_reference	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	evaluation/standards-effectiveness/check-metadata.sh
executable_reference	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	evaluation/standards-effectiveness/verify-milestone-7-f022-f023-decomposition.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-owner-state-transitions.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-verification-gate-model.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-concurrency-policy.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-contract-ownership.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh
executable_reference	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
executable_reference	evaluation/standards-effectiveness/verify-plan-fixtures.sh	evaluation/standards-effectiveness/check-plan-structure.sh
executable_reference	tools/standards_verifier/tests/test_suite_inputs.py	evaluation/standards-effectiveness/verify-contract-ownership.sh
helper_dependency	evaluation/standards-effectiveness/verify-concurrency-policy.sh	evaluation/standards-effectiveness/check-metadata.sh
helper_dependency	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	evaluation/standards-effectiveness/check-metadata.sh
helper_dependency	evaluation/standards-effectiveness/verify-plan-fixtures.sh	evaluation/standards-effectiveness/check-plan-structure.sh
verifier_dependency	evaluation/standards-effectiveness/verify-concurrency-policy.sh	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh
verifier_dependency	evaluation/standards-effectiveness/verify-concurrency-policy.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
verifier_dependency	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	evaluation/standards-effectiveness/verify-milestone-7-f022-f023-decomposition.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-owner-state-transitions.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	evaluation/standards-effectiveness/verify-verification-gate-model.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-concurrency-policy.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-contract-ownership.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh
verifier_dependency	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/verify-plan-fixtures.sh
