id	current_path	line	future_owner	disposition	heading
STD-0059	ARCHITECTURE-PATTERNS.md	349	topics/contracts.md	move-from-pattern-catalog	The Pattern
STD-0060	ARCHITECTURE-PATTERNS.md	359	topics/contracts.md	move-from-pattern-catalog	Contract Semantics to Preserve
STD-0061	ARCHITECTURE-PATTERNS.md	369	topics/contracts.md	move-from-pattern-catalog	Consumer Responsibilities
STD-0062	ARCHITECTURE-PATTERNS.md	383	topics/contracts.md	move-from-pattern-catalog	Benefits
STD-0063	ARCHITECTURE-PATTERNS.md	391	profiles/boundaries/ipc.md	move-from-pattern-catalog	IPC/Message Contract Pattern
STD-0064	ARCHITECTURE-PATTERNS.md	393	profiles/boundaries/ipc.md	move-from-pattern-catalog	The Pattern
STD-0065	ARCHITECTURE-PATTERNS.md	404	profiles/boundaries/ipc.md	move-from-pattern-catalog	Message Structure
STD-0066	ARCHITECTURE-PATTERNS.md	425	profiles/boundaries/ipc.md	move-from-pattern-catalog	Message Categories
STD-0067	ARCHITECTURE-PATTERNS.md	434	profiles/boundaries/ipc.md	move-from-pattern-catalog	Example Implementation
STD-0068	ARCHITECTURE-PATTERNS.md	461	profiles/boundaries/ipc.md	move-from-pattern-catalog	Benefits
STD-0069	ARCHITECTURE-PATTERNS.md	469	reference/patterns/architecture.md	split-and-index	Composition Root Pattern
STD-0070	ARCHITECTURE-PATTERNS.md	471	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0071	ARCHITECTURE-PATTERNS.md	487	reference/patterns/architecture.md	split-and-index	Roles
STD-0072	ARCHITECTURE-PATTERNS.md	495	reference/patterns/architecture.md	split-and-index	Rules
STD-0073	ARCHITECTURE-PATTERNS.md	523	reference/patterns/architecture.md	split-and-index	Benefits
STD-0074	ARCHITECTURE-PATTERNS.md	531	reference/patterns/architecture.md	split-and-index	Realtime Workflow Systems
STD-0075	ARCHITECTURE-PATTERNS.md	533	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0076	ARCHITECTURE-PATTERNS.md	542	reference/patterns/architecture.md	split-and-index	Workflow Shape
STD-0077	ARCHITECTURE-PATTERNS.md	553	reference/patterns/architecture.md	split-and-index	Rules
STD-0078	ARCHITECTURE-PATTERNS.md	568	reference/patterns/architecture.md	split-and-index	Typical Components
STD-0079	ARCHITECTURE-PATTERNS.md	578	reference/patterns/architecture.md	split-and-index	Benefits
STD-0080	ARCHITECTURE-PATTERNS.md	585	reference/patterns/architecture.md	split-and-index	Verification Note
STD-0081	ARCHITECTURE-PATTERNS.md	595	reference/patterns/architecture.md	split-and-index	View Model Pattern
STD-0082	ARCHITECTURE-PATTERNS.md	597	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0083	ARCHITECTURE-PATTERNS.md	608	reference/patterns/architecture.md	split-and-index	Responsibilities
STD-0084	ARCHITECTURE-PATTERNS.md	616	reference/patterns/architecture.md	split-and-index	View Model Rules
STD-0085	ARCHITECTURE-PATTERNS.md	626	reference/patterns/architecture.md	split-and-index	Example
STD-0086	ARCHITECTURE-PATTERNS.md	659	reference/patterns/architecture.md	split-and-index	Benefits
STD-0087	ARCHITECTURE-PATTERNS.md	667	reference/patterns/architecture.md	split-and-index	Directory Structure Template
STD-0088	ARCHITECTURE-PATTERNS.md	709	workflows/documentation.md	merge-duplicate	Directory README Requirement
STD-0089	ARCHITECTURE-PATTERNS.md	729	topics/diagnostics.md	move-from-pattern-catalog	Activity Tracing Pattern
STD-0090	ARCHITECTURE-PATTERNS.md	731	topics/diagnostics.md	move-from-pattern-catalog	The Pattern
STD-0091	ARCHITECTURE-PATTERNS.md	743	topics/diagnostics.md	move-from-pattern-catalog	Implementation
STD-0092	ARCHITECTURE-PATTERNS.md	776	topics/diagnostics.md	move-from-pattern-catalog	Benefits
STD-0093	ARCHITECTURE-PATTERNS.md	784	reference/patterns/architecture.md	split-and-index	Process Instance Coordination
STD-0094	ARCHITECTURE-PATTERNS.md	786	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0095	ARCHITECTURE-PATTERNS.md	810	reference/patterns/architecture.md	split-and-index	PID File Rules
STD-0096	ARCHITECTURE-PATTERNS.md	820	reference/patterns/architecture.md	split-and-index	PID File Contents
STD-0097	ARCHITECTURE-PATTERNS.md	832	reference/patterns/architecture.md	split-and-index	Handling PID Reuse
STD-0098	ARCHITECTURE-PATTERNS.md	859	reference/patterns/architecture.md	split-and-index	Stale PID File Cleanup
STD-0099	ARCHITECTURE-PATTERNS.md	867	reference/patterns/architecture.md	split-and-index	Discover-or-Create Pattern
STD-0100	ARCHITECTURE-PATTERNS.md	869	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0101	ARCHITECTURE-PATTERNS.md	881	reference/patterns/architecture.md	split-and-index	Instance Convergence Flow
STD-0102	ARCHITECTURE-PATTERNS.md	903	reference/patterns/architecture.md	split-and-index	Rules
STD-0103	ARCHITECTURE-PATTERNS.md	913	reference/patterns/architecture.md	split-and-index	Ownership Models
STD-0104	ARCHITECTURE-PATTERNS.md	921	reference/patterns/architecture.md	split-and-index	Example
STD-0105	ARCHITECTURE-PATTERNS.md	940	reference/patterns/architecture.md	split-and-index	Benefits
STD-0106	ARCHITECTURE-PATTERNS.md	948	profiles/boundaries/persistence.md	move-from-pattern-catalog	Phased Mutation Pattern
STD-0107	ARCHITECTURE-PATTERNS.md	950	profiles/boundaries/persistence.md	move-from-pattern-catalog	The Pattern
STD-0108	ARCHITECTURE-PATTERNS.md	965	profiles/boundaries/persistence.md	move-from-pattern-catalog	Phase Responsibilities
STD-0109	ARCHITECTURE-PATTERNS.md	976	profiles/boundaries/persistence.md	move-from-pattern-catalog	Benefits
STD-0110	ARCHITECTURE-PATTERNS.md	984	profiles/boundaries/persistence.md	move-from-pattern-catalog	When to Use
STD-0111	ARCHITECTURE-PATTERNS.md	994	profiles/boundaries/persistence.md	move-from-pattern-catalog	Anti-Pattern: Interleaved Mutation
STD-0112	ARCHITECTURE-PATTERNS.md	1006	profiles/boundaries/persistence.md	move-from-pattern-catalog	Implementation Tips
STD-0113	ARCHITECTURE-PATTERNS.md	1019	profiles/boundaries/persistence.md	move-from-pattern-catalog	Schema Versioning and Migration
STD-0114	ARCHITECTURE-PATTERNS.md	1021	profiles/boundaries/persistence.md	move-from-pattern-catalog	The Pattern
STD-0115	ARCHITECTURE-PATTERNS.md	1028	profiles/boundaries/persistence.md	move-from-pattern-catalog	Migration Rules
STD-0116	ARCHITECTURE-PATTERNS.md	1038	profiles/boundaries/persistence.md	move-from-pattern-catalog	Migration File Structure
STD-0117	ARCHITECTURE-PATTERNS.md	1052	profiles/boundaries/persistence.md	move-from-pattern-catalog	Schema Version Tracking
STD-0118	ARCHITECTURE-PATTERNS.md	1076	profiles/boundaries/persistence.md	move-from-pattern-catalog	Forward/Backward Compatibility
STD-0119	ARCHITECTURE-PATTERNS.md	1093	topics/resilience.md	move-from-pattern-catalog	Infrastructure Failure Recovery
STD-0120	ARCHITECTURE-PATTERNS.md	1095	topics/resilience.md	move-from-pattern-catalog	The Pattern
STD-0121	ARCHITECTURE-PATTERNS.md	1105	topics/resilience.md	move-from-pattern-catalog	Failure Categories
STD-0122	ARCHITECTURE-PATTERNS.md	1114	topics/resilience.md	move-from-pattern-catalog	Decision Flow
STD-0123	ARCHITECTURE-PATTERNS.md	1132	topics/resilience.md	move-from-pattern-catalog	Startup Resilience
STD-0124	ARCHITECTURE-PATTERNS.md	1148	topics/resilience.md	move-from-pattern-catalog	Best-Effort Service Pattern
STD-0125	ARCHITECTURE-PATTERNS.md	1169	topics/resilience.md	move-from-pattern-catalog	Benefits
STD-0126	ARCHITECTURE-PATTERNS.md	1178	topics/contracts.md	move-from-pattern-catalog	HTTP API Error Convention
STD-0127	ARCHITECTURE-PATTERNS.md	1180	topics/contracts.md	move-from-pattern-catalog	The Pattern
STD-0128	ARCHITECTURE-PATTERNS.md	1186	topics/contracts.md	move-from-pattern-catalog	Error Response Format
STD-0129	ARCHITECTURE-PATTERNS.md	1194	topics/contracts.md	move-from-pattern-catalog	Status Code Usage
STD-0130	ARCHITECTURE-PATTERNS.md	1205	topics/contracts.md	move-from-pattern-catalog	Server Implementation
STD-0131	ARCHITECTURE-PATTERNS.md	1222	topics/contracts.md	move-from-pattern-catalog	Client Implementation
STD-0132	ARCHITECTURE-PATTERNS.md	1228	topics/contracts.md	move-from-pattern-catalog	Anti-Pattern: Status 200 with Error Body
STD-0133	ARCHITECTURE-PATTERNS.md	1245	topics/contracts.md	move-from-pattern-catalog	Benefits
STD-0134	ARCHITECTURE-PATTERNS.md	1253	reference/patterns/architecture.md	split-and-index	Choosing Patterns
STD-0135	CODING-STANDARDS.md	1	CORE-STANDARDS.md	split-and-index	Coding Standards
STD-0136	CODING-STANDARDS.md	5	CORE-STANDARDS.md	split-and-index	Simplicity Principle
STD-0137	CODING-STANDARDS.md	18	CORE-STANDARDS.md	split-and-index	File Organization
STD-0138	CODING-STANDARDS.md	20	CORE-STANDARDS.md	split-and-index	Simple vs. Complected Organization
STD-0139	CODING-STANDARDS.md	48	CORE-STANDARDS.md	split-and-index	Directory Structure
STD-0140	CODING-STANDARDS.md	59	CORE-STANDARDS.md	split-and-index	Layered Architecture
STD-0141	CODING-STANDARDS.md	77	CORE-STANDARDS.md	split-and-index	Layer Rules
STD-0142	CODING-STANDARDS.md	87	CORE-STANDARDS.md	split-and-index	Why Layering Matters
STD-0143	CODING-STANDARDS.md	93	CORE-STANDARDS.md	split-and-index	Separation of Concerns
STD-0144	CODING-STANDARDS.md	95	CORE-STANDARDS.md	split-and-index	Backend-Owned Data Principle
STD-0145	CODING-STANDARDS.md	122	CORE-STANDARDS.md	split-and-index	Service Independence
STD-0146	CODING-STANDARDS.md	144	CORE-STANDARDS.md	split-and-index	Composition Root for Runtime Wiring
STD-0147	CODING-STANDARDS.md	156	CORE-STANDARDS.md	split-and-index	Single Owner for Stateful Flows
STD-0148	CODING-STANDARDS.md	174	CORE-STANDARDS.md	split-and-index	Constants and Configuration
STD-0149	CODING-STANDARDS.md	176	CORE-STANDARDS.md	split-and-index	No Magic Numbers or Strings
STD-0150	CODING-STANDARDS.md	193	CORE-STANDARDS.md	split-and-index	Centralize Constants
STD-0151	CODING-STANDARDS.md	214	CORE-STANDARDS.md	split-and-index	Error Handling
STD-0152	CODING-STANDARDS.md	216	CORE-STANDARDS.md	split-and-index	Exceptions for Exceptional Cases
STD-0153	CODING-STANDARDS.md	235	CORE-STANDARDS.md	split-and-index	Catch at Boundaries
STD-0154	CODING-STANDARDS.md	265	CORE-STANDARDS.md	split-and-index	Production Error Diagnostics
STD-0155	CODING-STANDARDS.md	317	CORE-STANDARDS.md	split-and-index	Validate at Boundaries
STD-0156	CODING-STANDARDS.md	334	CORE-STANDARDS.md	split-and-index	Validate Outbound Responses
STD-0157	CODING-STANDARDS.md	356	CORE-STANDARDS.md	split-and-index	Dependency Management
STD-0158	CODING-STANDARDS.md	361	CORE-STANDARDS.md	split-and-index	Code Style
STD-0159	CODING-STANDARDS.md	363	CORE-STANDARDS.md	split-and-index	Code Volume Discipline
STD-0160	CODING-STANDARDS.md	387	CORE-STANDARDS.md	split-and-index	Avoid Over-Engineering
STD-0161	CODING-STANDARDS.md	410	CORE-STANDARDS.md	split-and-index	Abstractions Must Reduce Reasoning Load
STD-0162	CODING-STANDARDS.md	425	CORE-STANDARDS.md	split-and-index	Don't Repeat Yourself (DRY)
STD-0163	CODING-STANDARDS.md	454	CORE-STANDARDS.md	split-and-index	Delete Unused Code
STD-0164	CODING-STANDARDS.md	467	CORE-STANDARDS.md	split-and-index	Naming Conventions
STD-0165	CODING-STANDARDS.md	469	CORE-STANDARDS.md	split-and-index	Be Descriptive
STD-0166	CODING-STANDARDS.md	485	CORE-STANDARDS.md	split-and-index	Consistent Terminology
STD-0167	CODING-STANDARDS.md	501	CORE-STANDARDS.md	split-and-index	Invariants and Safety
STD-0168	CODING-STANDARDS.md	503	CORE-STANDARDS.md	split-and-index	Documenting Invariants
STD-0169	CODING-STANDARDS.md	510	CORE-STANDARDS.md	split-and-index	Invariants Maintained
STD-0170	CODING-STANDARDS.md	516	CORE-STANDARDS.md	split-and-index	Preconditions
STD-0171	CODING-STANDARDS.md	521	CORE-STANDARDS.md	split-and-index	Postconditions
STD-0172	CODING-STANDARDS.md	527	CORE-STANDARDS.md	split-and-index	Validation Strategy
STD-0173	CODING-STANDARDS.md	538	CORE-STANDARDS.md	split-and-index	Invariant Testing
STD-0174	CODING-STANDARDS.md	547	CORE-STANDARDS.md	split-and-index	Disabled Features
STD-0175	CODING-STANDARDS.md	551	CORE-STANDARDS.md	split-and-index	Documentation Requirements
STD-0176	CODING-STANDARDS.md	572	CORE-STANDARDS.md	split-and-index	Config Pattern
STD-0177	CODING-STANDARDS.md	577	CORE-STANDARDS.md	split-and-index	Unimplemented Stubs
STD-0178	CODING-STANDARDS.md	592	CORE-STANDARDS.md	split-and-index	Review Checklist
STD-0179	CODING-STANDARDS.md	601	CORE-STANDARDS.md	split-and-index	License Attribution
STD-0180	CODING-STANDARDS.md	605	CORE-STANDARDS.md	split-and-index	Attribution Format
STD-0181	CODING-STANDARDS.md	620	CORE-STANDARDS.md	split-and-index	License Compatibility
STD-0182	CODING-STANDARDS.md	632	CORE-STANDARDS.md	split-and-index	File-Level Attribution
STD-0183	CODING-STANDARDS.md	646	CORE-STANDARDS.md	split-and-index	Language-Specific Guidelines
STD-0184	CODING-STANDARDS.md	658	CORE-STANDARDS.md	split-and-index	TypeScript-Specific Guidelines
STD-0185	CODING-STANDARDS.md	660	CORE-STANDARDS.md	split-and-index	Explicit Return Types on Public Functions
STD-0186	CODING-STANDARDS.md	681	CORE-STANDARDS.md	split-and-index	Contract Types for API Boundaries
STD-0187	CODING-STANDARDS.md	698	CORE-STANDARDS.md	split-and-index	Frontend-Specific Standards
STD-0188	CODING-STANDARDS.md	704	CORE-STANDARDS.md	split-and-index	Performance-Critical Code
STD-0189	CODING-STANDARDS.md	706	CORE-STANDARDS.md	split-and-index	Documentation
STD-0190	CODING-STANDARDS.md	713	CORE-STANDARDS.md	split-and-index	Performance
STD-0191	CODING-STANDARDS.md	716	CORE-STANDARDS.md	split-and-index	Optimizations Applied
STD-0192	CODING-STANDARDS.md	721	CORE-STANDARDS.md	split-and-index	Benchmarks
STD-0193	CODING-STANDARDS.md	725	CORE-STANDARDS.md	split-and-index	Guidelines
STD-0194	CODING-STANDARDS.md	737	CORE-STANDARDS.md	split-and-index	When to Optimize
STD-0195	COMMIT-STANDARDS.md	1	workflows/commit.md	move-and-index	Commit Standards
STD-0196	COMMIT-STANDARDS.md	5	workflows/commit.md	move-and-index	Conventional Commits Format
STD-0197	COMMIT-STANDARDS.md	17	workflows/commit.md	move-and-index	Components
STD-0198	COMMIT-STANDARDS.md	27	workflows/commit.md	move-and-index	Commit Types
STD-0199	COMMIT-STANDARDS.md	41	workflows/commit.md	move-and-index	Choosing a Type
STD-0200	COMMIT-STANDARDS.md	55	workflows/commit.md	move-and-index	Scopes
STD-0201	COMMIT-STANDARDS.md	60	workflows/commit.md	move-and-index	Example Scopes
STD-0202	COMMIT-STANDARDS.md	73	workflows/commit.md	move-and-index	Scope Guidelines
STD-0203	COMMIT-STANDARDS.md	80	workflows/commit.md	move-and-index	Writing Good Descriptions
STD-0204	COMMIT-STANDARDS.md	82	workflows/commit.md	move-and-index	Use Imperative Mood
STD-0205	COMMIT-STANDARDS.md	98	workflows/commit.md	move-and-index	Be Specific
STD-0206	COMMIT-STANDARDS.md	112	workflows/commit.md	move-and-index	Keep It Short
STD-0207	COMMIT-STANDARDS.md	118	workflows/commit.md	move-and-index	Commit Body
STD-0208	COMMIT-STANDARDS.md	140	workflows/commit.md	move-and-index	Commit Footer
STD-0209	COMMIT-STANDARDS.md	142	workflows/commit.md	move-and-index	Breaking Changes
STD-0210	COMMIT-STANDARDS.md	152	workflows/commit.md	move-and-index	Issue References
STD-0211	COMMIT-STANDARDS.md	162	workflows/commit.md	move-and-index	Co-Authors
STD-0212	COMMIT-STANDARDS.md	170	workflows/commit.md	move-and-index	Agent Footer (Multi-Agent Orchestration)
STD-0213	COMMIT-STANDARDS.md	184	workflows/commit.md	move-and-index	Pre-Commit Checklist
STD-0214	COMMIT-STANDARDS.md	189	workflows/commit.md	move-and-index	1. Check what's staged
STD-0215	COMMIT-STANDARDS.md	192	workflows/commit.md	move-and-index	2. Review the actual changes
STD-0216	COMMIT-STANDARDS.md	195	workflows/commit.md	move-and-index	3. Review unpushed history for regression + fix pairs
STD-0217	COMMIT-STANDARDS.md	196	workflows/commit.md	move-and-index	If no upstream is configured, compare against your intended base branch
STD-0218	COMMIT-STANDARDS.md	197	workflows/commit.md	move-and-index	(for example: origin/main..HEAD)
STD-0219	COMMIT-STANDARDS.md	200	workflows/commit.md	move-and-index	4. Run linters/formatters
STD-0220	COMMIT-STANDARDS.md	203	workflows/commit.md	move-and-index	5. Run tests (at minimum, affected tests)
STD-0221	COMMIT-STANDARDS.md	206	workflows/commit.md	move-and-index	6. Commit with conventional format
STD-0222	COMMIT-STANDARDS.md	210	workflows/commit.md	move-and-index	Mandatory History Cleanup Before Commit
STD-0223	COMMIT-STANDARDS.md	225	workflows/commit.md	move-and-index	Workflow
STD-0224	COMMIT-STANDARDS.md	228	workflows/commit.md	move-and-index	Inspect unpushed commits
STD-0225	COMMIT-STANDARDS.md	229	workflows/commit.md	move-and-index	If no upstream is configured, compare against your intended base branch
STD-0226	COMMIT-STANDARDS.md	230	workflows/commit.md	move-and-index	(for example: origin/main..HEAD)
STD-0227	COMMIT-STANDARDS.md	233	workflows/commit.md	move-and-index	Mark intended cleanup as fixup during normal development
STD-0228	COMMIT-STANDARDS.md	236	workflows/commit.md	move-and-index	Rewrite unpushed history and autosquash fixups
STD-0229	COMMIT-STANDARDS.md	237	workflows/commit.md	move-and-index	If no upstream is configured, use your intended base branch
STD-0230	COMMIT-STANDARDS.md	238	workflows/commit.md	move-and-index	(for example: origin/main)
STD-0231	COMMIT-STANDARDS.md	244	workflows/commit.md	move-and-index	Commit Frequency
STD-0232	COMMIT-STANDARDS.md	246	workflows/commit.md	move-and-index	Commit Often
STD-0233	COMMIT-STANDARDS.md	262	workflows/commit.md	move-and-index	One Logical Change Per Commit
STD-0234	COMMIT-STANDARDS.md	269	workflows/commit.md	move-and-index	Staging Best Practices
STD-0235	COMMIT-STANDARDS.md	271	workflows/commit.md	move-and-index	Stage Specific Files
STD-0236	COMMIT-STANDARDS.md	274	workflows/commit.md	move-and-index	BAD: Stages everything (may include unwanted files)
STD-0237	COMMIT-STANDARDS.md	278	workflows/commit.md	move-and-index	GOOD: Stage specific files
STD-0238	COMMIT-STANDARDS.md	283	workflows/commit.md	move-and-index	Review Before Committing
STD-0239	COMMIT-STANDARDS.md	286	workflows/commit.md	move-and-index	Always check what you're about to commit
STD-0240	COMMIT-STANDARDS.md	289	workflows/commit.md	move-and-index	Or use interactive staging
STD-0241	COMMIT-STANDARDS.md	293	workflows/commit.md	move-and-index	Exclude Sensitive Files
STD-0242	COMMIT-STANDARDS.md	301	workflows/commit.md	move-and-index	Commit Message Examples
STD-0243	COMMIT-STANDARDS.md	303	workflows/commit.md	move-and-index	Feature
STD-0244	COMMIT-STANDARDS.md	316	workflows/commit.md	move-and-index	Bug Fix
STD-0245	COMMIT-STANDARDS.md	327	workflows/commit.md	move-and-index	Refactor
STD-0246	COMMIT-STANDARDS.md	338	workflows/commit.md	move-and-index	Chore
STD-0247	COMMIT-STANDARDS.md	349	workflows/commit.md	move-and-index	Handling Mistakes
STD-0248	COMMIT-STANDARDS.md	351	workflows/commit.md	move-and-index	Amend Last Commit (Before Push)
STD-0249	COMMIT-STANDARDS.md	354	workflows/commit.md	move-and-index	Fix the last commit message
STD-0250	COMMIT-STANDARDS.md	357	workflows/commit.md	move-and-index	Add forgotten files to last commit
STD-0251	COMMIT-STANDARDS.md	362	workflows/commit.md	move-and-index	After Pushing
STD-0252	COMMIT-STANDARDS.md	367	workflows/commit.md	move-and-index	Create a new commit that fixes the issue
STD-0253	COMMIT-STANDARDS.md	374	workflows/commit.md	move-and-index	Merge Commits vs. Squash
STD-0254	COMMIT-STANDARDS.md	376	workflows/commit.md	move-and-index	When to Squash
STD-0255	COMMIT-STANDARDS.md	382	workflows/commit.md	move-and-index	When to Keep History
STD-0256	COMMIT-STANDARDS.md	388	workflows/commit.md	move-and-index	Rewriting Unpushed Merge Commits
STD-0257	COMMIT-STANDARDS.md	397	workflows/commit.md	move-and-index	Merge-aware history rewrite (when merge commits are involved)
STD-0258	COMMIT-STANDARDS.md	398	workflows/commit.md	move-and-index	If no upstream is configured, use your intended base branch
STD-0259	COMMIT-STANDARDS.md	399	workflows/commit.md	move-and-index	(for example: origin/main)
STD-0260	COMMIT-STANDARDS.md	402	workflows/commit.md	move-and-index	Verify topology before push
STD-0261	COMMIT-STANDARDS.md	403	workflows/commit.md	move-and-index	If no upstream is configured, compare against your intended base branch
STD-0262	COMMIT-STANDARDS.md	404	workflows/commit.md	move-and-index	(for example: origin/main..HEAD)
STD-0263	CONCURRENCY-STANDARDS.md	1	topics/concurrency.md	move-and-index	Concurrency Standards
STD-0264	CONCURRENCY-STANDARDS.md	5	topics/concurrency.md	move-and-index	Core Principles
STD-0265	CONCURRENCY-STANDARDS.md	7	topics/concurrency.md	move-and-index	1. Prefer Message Passing Over Shared Mutable State
STD-0266	CONCURRENCY-STANDARDS.md	23	topics/concurrency.md	move-and-index	2. Protect Shared Mutable State
