component	size	cyclic	wave	members	dependencies	inbound_components	executable_inbound_files	contract_inbound_files
component-1d8b843b2c43e80eff9c5cd260283847da2fed16592a09228e31745d31ba1206	1	no	1	evaluation/standards-effectiveness/verify-ipc-payload-validation.sh	component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94	evaluation/standards-effectiveness/verify-security-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-security-checker-repairs.tsv
component-23e5e52a2dfe695955c56d022462756dfeec0841de4c73c60f50f9cb742492cd	1	no	0	evaluation/standards-effectiveness/verify-historical-row-checker-ownership.sh	-	component-c08bd8f04b542fa65f90d4d8b2902cdc932dd42732574d9ae75a61879da9cba8	evaluation/standards-effectiveness/verify-milestone-7-row-42-decomposition.sh	-
component-32641fc24f283d732c863f66d60560759449c5540faa921f78646e420bfbff6d	1	no	0	evaluation/standards-effectiveness/check-decision-table.sh	-	component-57fe502eb0a9c30d895b9eb4a797d702c7df5f46e82817a0a856a0e194961ad2,component-5b2a27b74d8b0b68b7cc5be35e4f5e47b9729285f3b0926ce662da83f0d9bc7f,component-9543f3859767b879dd34ce84bf29a7b273c41e5523adacb1d1d96ef42d4ef475,component-bca18e32e5e45df9724ff0381026161e041085bcb3184d73291597d26ab2fe9b,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6,component-f34de65d4fcc4edaaaf8a96dcb49786a58ea2ad43932aa3460571b270ab838ee,component-fdcbd9323ab427f301a785a9d169c92eed03df9b126116c58eeeb3cbfeb71fda	evaluation/standards-effectiveness/verify-binding-contract-evolution.sh,evaluation/standards-effectiveness/verify-binding-generation-authority.sh,evaluation/standards-effectiveness/verify-decision-table-engine.sh,evaluation/standards-effectiveness/verify-language-binding-mechanism-selection.sh,evaluation/standards-effectiveness/verify-milestone-7-accelerated-execution-replan.sh,evaluation/standards-effectiveness/verify-rust-binding-core-adapter-testability.sh,evaluation/standards-effectiveness/verify-rust-binding-workspace-evidence.sh,tools/standards_verifier/standards_verifier/inventory.py,tools/standards_verifier/tests/test_inventory.py	-
component-377ec2aa550fe7393135941bac0bcbbf012367cfbb619cf6fe37560d656527b5	1	no	1	evaluation/standards-effectiveness/verify-runtime-decoding-policy.sh	component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-074d0df8d4f07b3126cc4661a570aed14eb3cfb68147109dc8cdc99d702bf189,component-6485de858ba9c8446e9656810c6d2d175aa55b1f9b6a4279265b6ee4d5046a6c,component-9444f35220b1ea0a550576b912f1a32b42e57f4fda3b7092f366fa239fec0b65	evaluation/standards-effectiveness/verify-cross-language-contract.sh,evaluation/standards-effectiveness/verify-input-validation-authority.sh,evaluation/standards-effectiveness/verify-validation-proof-lifetime.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv
component-3924d8a5ba032a8d768aa0010672cb4b09cf4e1935b5f553a9e3bf50fd232b30	1	no	1	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	-	-	evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-4020675e30062d26db7623399b9ba326cd7245afa79736406aab314ff1b10afb	1	no	3	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	component-0a08c0f28f05abc0298f6bdbf8abb9a6aede50308c8f1fdf81c1581b7e2e2056,component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1,component-9efbb73ab0af6005e09605ca605c1b80b50a73ad8aab34f36733a79b94a9c8ed	component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3,component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134,component-814a5104df1a2a94c6066f2c26a7b3714dcce1322894a1d8ec3c5ec38f4a7825	evaluation/standards-effectiveness/verify-concurrency-policy.sh,evaluation/standards-effectiveness/verify-milestone-7-f025-f026-decomposition.sh,evaluation/standards-effectiveness/verify-rust-async-lifecycle.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-44f91df1cc44a02c1a5c7ee20696b26f4b18fdf59724f0ff17c57638e7224b4a	1	no	5	evaluation/standards-effectiveness/verify-rust-binding-architecture.sh	component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-08a69acf3fffd4d96c3b77d021a97b9ae24dbf8b83428d4b2d17e9e3ff0d6178,component-57fe502eb0a9c30d895b9eb4a797d702c7df5f46e82817a0a856a0e194961ad2,component-b387100c78f8eac53cb170aab98689d945efe020e13a43137b0d5b771e38c525	evaluation/standards-effectiveness/verify-milestone-7-row-43-decomposition.sh,evaluation/standards-effectiveness/verify-rust-binding-core-adapter-testability.sh,evaluation/standards-effectiveness/verify-rust-binding-title-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv
component-474ecf2e2b44b72e1f3cf6d21e515170addb994cc9d562936a96b60ddc906454	1	no	1	evaluation/standards-effectiveness/verify-release-procedure-policy.sh	component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	-	-	evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841	1	no	5	evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134,component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-9efbb73ab0af6005e09605ca605c1b80b50a73ad8aab34f36733a79b94a9c8ed,component-ddde987c43bc18855aecc437804a618bf252fcaf558fc1c91a278caa9a3a7b41,component-f164a80b7fcd9626ecdf1baea8eb7b6d59f71988c2161366670321e00d1383d3	component-04fa08517d7a709af78a47bf18da52950f55a7aacd31c4f5e32e4cc48a1cd41e,component-074d0df8d4f07b3126cc4661a570aed14eb3cfb68147109dc8cdc99d702bf189,component-5e1cf8e9c5200202ab4ae5c26353960caa4dbe106c70473d4712072f82368a92,component-6485de858ba9c8446e9656810c6d2d175aa55b1f9b6a4279265b6ee4d5046a6c,component-919b5d2fe8b3b70c7ee0caa438a8cffd1c469f1d3e50c10d2de039158a6c3dcc,component-cbeed40a7f9e5e3d699206653231eac25713b591f47332b9f18ee06e33703fcd	evaluation/standards-effectiveness/verify-input-validation-authority.sh,evaluation/standards-effectiveness/verify-interop-event-registration.sh,evaluation/standards-effectiveness/verify-network-transport-policy.sh,evaluation/standards-effectiveness/verify-rust-external-input-queue.sh,evaluation/standards-effectiveness/verify-rust-wire-representation.sh,evaluation/standards-effectiveness/verify-validation-proof-lifetime.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/fixtures/planning/errexit-zero-accumulation.tsv,evaluation/standards-effectiveness/milestone-7-row-35-transitive-contract-callers.tsv,evaluation/standards-effectiveness/suites/milestone-7-row-35-decomposition.toml
component-4ff8fcc2884998d0e420714f719799cd1e2dbfa3e891c8756595c65b385388ce	1	no	4	evaluation/standards-effectiveness/verify-launcher-owner-contract.sh	component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	component-9859a0fba88fa35bdedaccc5167a8e1fe665ca7c155470530363be30cced1efe	evaluation/standards-effectiveness/verify-launcher-population.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv
component-572e52e35399637057c19ce2396fe5791f1e3339d8c1db61cfb66be8f5abafd8	1	no	0	evaluation/standards-effectiveness/verify-milestone-7-f022-f023-decomposition.sh	-	component-6a13bda42471667dce3da39ff15e3d89caaaae326159ac12a0c6309bd20aa198,component-766598ee7031fff2e1ae6578c0461b7c9dc34a182e929270ac327c7f99070597,component-d8ea8a1175975e29763efd153437187aae89c54e63fe8f7bc184e8646071ffa4,component-dc06460a1b272e7e86aad95524869442d2d130d37e1b41ef84c48338d1ea4dff,component-ddde987c43bc18855aecc437804a618bf252fcaf558fc1c91a278caa9a3a7b41	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh,evaluation/standards-effectiveness/verify-language-binding-boundary.sh,evaluation/standards-effectiveness/verify-rust-binding-conversions.sh,evaluation/standards-effectiveness/verify-rust-boundary-arithmetic.sh,evaluation/standards-effectiveness/verify-rust-unsafe-contracts.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-57fe502eb0a9c30d895b9eb4a797d702c7df5f46e82817a0a856a0e194961ad2	1	no	6	evaluation/standards-effectiveness/verify-rust-binding-core-adapter-testability.sh	component-32641fc24f283d732c863f66d60560759449c5540faa921f78646e420bfbff6d,component-44f91df1cc44a02c1a5c7ee20696b26f4b18fdf59724f0ff17c57638e7224b4a,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-cc2c80ba2e3c3d16b63c85c1c516e07abd1394f36cd832dceafa58cb99ae1149,component-dc06460a1b272e7e86aad95524869442d2d130d37e1b41ef84c48338d1ea4dff	component-5b2a27b74d8b0b68b7cc5be35e4f5e47b9729285f3b0926ce662da83f0d9bc7f	evaluation/standards-effectiveness/verify-rust-binding-workspace-evidence.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv
component-5b2a27b74d8b0b68b7cc5be35e4f5e47b9729285f3b0926ce662da83f0d9bc7f	1	no	7	evaluation/standards-effectiveness/verify-rust-binding-workspace-evidence.sh	component-32641fc24f283d732c863f66d60560759449c5540faa921f78646e420bfbff6d,component-57fe502eb0a9c30d895b9eb4a797d702c7df5f46e82817a0a856a0e194961ad2,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-b46db8098650d8131be038d340eff1ea4602eafc69a331578a8fd14b11c629bc	-	-	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-5e1cf8e9c5200202ab4ae5c26353960caa4dbe106c70473d4712072f82368a92	1	no	6	evaluation/standards-effectiveness/verify-rust-external-input-queue.sh	component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d,component-d8ea8a1175975e29763efd153437187aae89c54e63fe8f7bc184e8646071ffa4	component-17e89de10238a6cd83b168cb5301c38cb2d499df58d0fbf1103e61c05b873df2,component-a6453bee7ea7a5f056c5a69c331805e3f7aeceb8927ff97ed3cf45dae52f1142	evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh,evaluation/standards-effectiveness/verify-rust-security-title-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-5f042984dbb39cba08ed457cda9348a095ed91a847e020b35b14e9ce34b27ba5	1	no	7	evaluation/standards-effectiveness/verify-rust-binding-event-delivery.sh	component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-919b5d2fe8b3b70c7ee0caa438a8cffd1c469f1d3e50c10d2de039158a6c3dcc,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	-	-	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-6485de858ba9c8446e9656810c6d2d175aa55b1f9b6a4279265b6ee4d5046a6c	1	no	6	evaluation/standards-effectiveness/verify-input-validation-authority.sh	component-377ec2aa550fe7393135941bac0bcbbf012367cfbb619cf6fe37560d656527b5,component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-711128a7f20f35ceb9857b7066954a81fcef0623b4c1642f202acbba45bc8fd5,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94,component-c08bd8f04b542fa65f90d4d8b2902cdc932dd42732574d9ae75a61879da9cba8	evaluation/standards-effectiveness/verify-milestone-7-row-42-decomposition.sh,evaluation/standards-effectiveness/verify-security-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-security-checker-repairs.tsv
component-6a13bda42471667dce3da39ff15e3d89caaaae326159ac12a0c6309bd20aa198	1	no	1	evaluation/standards-effectiveness/verify-rust-unsafe-contracts.sh	component-572e52e35399637057c19ce2396fe5791f1e3339d8c1db61cfb66be8f5abafd8,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	-	-	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1	1	no	1	evaluation/standards-effectiveness/verify-plan-fixtures.sh	component-b5ec0297136d534162c8d0bde279007d81785d53c084477ca1c94f89f9986cc4	component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3,component-0a08c0f28f05abc0298f6bdbf8abb9a6aede50308c8f1fdf81c1581b7e2e2056,component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134,component-4020675e30062d26db7623399b9ba326cd7245afa79736406aab314ff1b10afb,component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-4ff8fcc2884998d0e420714f719799cd1e2dbfa3e891c8756595c65b385388ce,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-8f6946288de693c00af1b6d771e3d824280881277eb1a689adfd1813f749d7f2,component-a21117ca9358e43b4cfd9d14ac2e4c9ca7e4ecc03913b8fe5118e428e7886ab6,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	evaluation/standards-effectiveness/verify-concurrency-policy.sh,evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh,evaluation/standards-effectiveness/verify-godot-owner-contract.sh,evaluation/standards-effectiveness/verify-launcher-owner-contract.sh,evaluation/standards-effectiveness/verify-milestone-7-accelerated-execution-replan.sh,evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh,evaluation/standards-effectiveness/verify-milestone-7-f025-f026-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh,evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-6b68dca809c343cfd0363eb43d1e2d2d9020dd18b9448cdf1a601a40eb573b62	1	no	0	evaluation/standards-effectiveness/verify-owner-state-transitions.sh	-	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167	evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	-
component-711128a7f20f35ceb9857b7066954a81fcef0623b4c1642f202acbba45bc8fd5	1	no	1	evaluation/standards-effectiveness/verify-filesystem-containment-policy.sh	component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-6485de858ba9c8446e9656810c6d2d175aa55b1f9b6a4279265b6ee4d5046a6c,component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94,component-c08bd8f04b542fa65f90d4d8b2902cdc932dd42732574d9ae75a61879da9cba8,component-d288e00b6179ec6f05844d4d49c43b4b9ae8e5246cd769b8ac5f59fbd11b1ef6	evaluation/standards-effectiveness/verify-input-validation-authority.sh,evaluation/standards-effectiveness/verify-milestone-7-row-42-decomposition.sh,evaluation/standards-effectiveness/verify-rust-filesystem-authority.sh,evaluation/standards-effectiveness/verify-security-index-closure.sh	evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv
component-7431bba9ed574d1283a79364ab26871a11bd84e387b24c6b0f06c89d5cc78dd9	1	no	4	evaluation/standards-effectiveness/verify-milestone-7-row-8-decomposition.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	component-921caa91bd073ab88969b0be604729698c76a06ed7f043dcb99140136b094fe0,component-f34de65d4fcc4edaaaf8a96dcb49786a58ea2ad43932aa3460571b270ab838ee	evaluation/standards-effectiveness/verify-binding-generation-authority.sh,evaluation/standards-effectiveness/verify-rust-binding-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
