owner	policy_unit	predecessor_commit	predecessor_tree	predecessor_present	predecessor_requirement	predecessor_attestation	predecessor_certificate
workflow.commit	workflow.commit.cherry-pick-lineage	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:8a82aa19bbed266f0e620b1a41a5d010f389becbf24c4a6e710023436367a542	coverage-attestation:sha256:c25066b1737fee597050c893a46d98a50e100d5d0f32cd195666d4618cdcf314	certificate:sha256:ff4c52e396033774820680fa20b04df410e47786d5ee40eb9bf1766e2e2a5b3e
workflow.commit	workflow.commit.commit-message	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:cba9b2e2c7efa5fa9b19813154bbb654e674ee64f8f0309cb37a49f373b4ff9c	coverage-attestation:sha256:6d75b7da668d0219d8114c203842d21c820d0b9ac94eea0d56c0e638f81c9970	certificate:sha256:bd7740ef09a2730e3d00504353cfa7da11df6a44862b8c5b1c9842c34bea242b
workflow.commit	workflow.commit.hook-bypass-authority	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:dbe9759a59bec26ea9129e84aeb1e271b231c8f26547025b6478080c219c871d	coverage-attestation:sha256:734b875ce88c7be61eb20f2682f9565c3b374dab1cc7dd9cf48db0f31379b219	certificate:sha256:6a7c6e4e902bf10c30572207e319cfbe0215488d5d05620443fa73e76bd9f5f8
workflow.commit	workflow.commit.integration-mechanisms	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:af329caa341a0c81ea1c30d0bf0e0c91cf9a78cd43a5dfea367050433100284d	coverage-attestation:sha256:f944950cc9af1fa20785a200860f5dfad61b1dde37e023e7993212773f3c661c	certificate:sha256:6f2d044e71f1639e38ce65b21c06ce57c9024fa052f32dfb09aac3d394e53449
workflow.commit	workflow.commit.invalid-outcomes	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:67c4a1d1ae958be74309b5a2b04389b612d27d014ea1cf58f6b8fe193fe95c76	coverage-attestation:sha256:c2602e39337d72b30633a9fc2ee976a463de34f88fa99a3daa08d29334b2260f	certificate:sha256:b1ccb932587c9eb3ad51c2bbf506f5687750eaf8d42025f3aa89e972f47ff1be
workflow.commit	workflow.commit.isolation-applicability	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:17073b2008f31da2d1b25c415476bd7d83e4422fb7f79d83944c8f8d82bbcf75	coverage-attestation:sha256:120e3f0f70db17d006251447ca6f06ff00868d16274bf045546702c4442bc08f	certificate:sha256:1bf0b73e3e9939b8ee63ef459143885b196e4ba3cc70df0b5041666614e09881
workflow.commit	workflow.commit.per-commit-boundary	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:dcc8df7ec9ca3a2852c78e81992d5541dde5bb0c60878f38f857eeec7cfa0766	coverage-attestation:sha256:4810aa0df8cca23f8ea08f52f8265ba46a41065e8ec60918aee4a8ba698a5a49	certificate:sha256:d642354f2c88d39e1f78029726bc4c767e31f4b294aae37af02d9508cd409daa
workflow.commit	workflow.commit.rewrite-authority	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:0973dd50ff218f143a09b66ed247f943d38886ec0ce297cc9eba77accf9b6778	coverage-attestation:sha256:a89f5696b7e51d9453ade7de1a0d9c99c2ecf3d8ada02a17bfd936ef961675d1	certificate:sha256:e4362577ff77b60751f083befd78679b13c2a03e87c8ad9378989fb31c7df88a
workflow.commit	workflow.commit.terminal-branch-lifecycle	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:cd01cf37137ae72048bd9ea6769ea1bb295467e6bfd4966926c2bf0eae52a372	coverage-attestation:sha256:b0250814440f8241ab107b1600230fee91bfe51c73a9112bdc18843694836201	certificate:sha256:00cec8ea48f235e7922b86f4661a1ad15c7f0ddd03a7d7cd46b4c87bfa1753bd
workflow.commit	workflow.commit.topology	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:e90c69831d9bcd94d747c20ef0dc239805aa698f02a1be0903981754e3d74daa	coverage-attestation:sha256:52fc213e3a42e28a77501ab2d95a12c2423b5e3d2d30d24c33a676ad752c4a2e	certificate:sha256:e3d7ae552af38d93165d19f78f855c369202123ea356544b9ee4fbf8d2128a20
workflow.commit	workflow.commit.worktree-lifecycle	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:6329316eba862b145adf40f0de394f64e992ee7ce4854660c2165a0d6d1ee761	coverage-attestation:sha256:672dbcc8f697cd6087c9ce676cab3eba5402b31be9b2e642e0def9167879624d	certificate:sha256:0d45d745d51ba9ff7ce4427a3e79636b912b4b5fff75cea19d63efb4e99e435e
workflow.planning	workflow.planning.acceptance-claims	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:c25c9107721a3af5bec22254f7ea872ea58af937356fb06aea930d9841708244	coverage-attestation:sha256:c768d2642789190ac229cd5770c5953230ca6371e306823af79f27fd11f9cb95	certificate:sha256:3937f23c067ac7d8fcccaa8ed11ef80e79afb0f42350edaed3b9d1d068eb8a94
workflow.planning	workflow.planning.active-plan-fields	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:05ef4b1d1e0ac33078b19b085c9e9f1e08dd893ca6bd335c3d4117d934745363	coverage-attestation:sha256:d645a2cdbce6cb9b2005f9426cdbd49d9895c2d8d00fa73f5fbc1d67e295d5fd	certificate:sha256:d1cbd633882c3da84bc5bcb8e7f532519b2bb42657c58221c7ea0b29e7a87b0c
workflow.planning	workflow.planning.artifact-model	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:cb53bb0a99d8702b202d47d8f5d396c6fecce3388430ac78b8ea5146e8af3c47	coverage-attestation:sha256:cc040429e47d93f57fbdfca36e00078f48531871d2b6734cab3d88d29bd4323f	certificate:sha256:81b6752b061450abb853e5a9ed6d7ede3b8084247d5f652440b6ad04a570314a
workflow.planning	workflow.planning.completion	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:51ef94620130eec55db2a69f9edb66261c2d745684f0265fb8f0f1fe792cc884	coverage-attestation:sha256:5b569699ad520db1aa8a12fcdce9e940f4f310e5e6b1cc2be99db0b8287adb1e	certificate:sha256:972e3e18e7a1e457903a9d36f6137821d74e1c8b4be628a03548ad6589237268
workflow.planning	workflow.planning.concurrent-integration-routing	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:2497a0d4eddcc8da4327656e5f55119b04ceb058dc7926b31e1603a0272aca0c	coverage-attestation:sha256:a7a0a46e622bd555f468bb317e3a9fc4437085c3370c98d86020429f937ae5f1	certificate:sha256:1457e27f8a8696df12f60c5401ea24c3d4b3cc15d8d7915d9149f6cde46ca287
workflow.planning	workflow.planning.concurrent-work	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:e65477fd68662fc92af741852061f92f296c0e8a69362beb480e1461e1d562fb	coverage-attestation:sha256:27182dbd302b3398219c2aa2304a5a8832d76fa4dc25d6f445c86c5264581797	certificate:sha256:050473b4d0dd4ced6113231c7784bd6a15f8c065fc581e2dfca8cf823b2854d9
workflow.planning	workflow.planning.current-state	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:221ef10d09916ad01cc67479c7626372fef3b104f9ebe5bedc1eed6477ca300e	coverage-attestation:sha256:bbfc2d5626458ef1f89fa9e357f1d382a688914066f8647914d7578110b75280	certificate:sha256:3d75449510ef3a9a48564f3fe1fa56d054711e9956a206bdaddf93d9c1240766
workflow.planning	workflow.planning.findings	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:96d5d208a0136aa9c312dde71e39a4120f7b2a209cc787b7412cc78fc24c0137	coverage-attestation:sha256:beae51334593ba390f23cf80321750be2f634c36a8b1a09085740e129d507520	certificate:sha256:7bd505a65fddebe0ec12ffb5262ff71a52d66caac86ef9f19dad0ee222b1724f
workflow.planning	workflow.planning.lifecycle	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:8f24e30804adadfdddc56154fe240f78c3bc33654ffc083a872c6e5b8994dc79	coverage-attestation:sha256:73cb86b8f61af8765b981ed9ec9bde02cb8d5f01e21f8e44115949cf8c0fc4de	certificate:sha256:2b8d8ab68238e1a58372298057524383d47b1b0f99862cf8f6bc9f444d65ce15
workflow.planning	workflow.planning.milestones-and-slices	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:741b0af7768d9ebec4a0e8a066f088ce0c1f9307d2d8483ae355c3f35943db7d	coverage-attestation:sha256:b60df6fe49fc33bbe4402ccb5d8e525f58ce05a3387219935ec024406e1b5b4e	certificate:sha256:64ebc6f3f3987438c461aa6447779add446e1d8e19ecb0dca0357394c6faf2e9
workflow.planning	workflow.planning.plan-admission	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:32b8bb619fa8db00f206f95b2e98d73e3becec3b96259d68bb19644bc539891c	coverage-attestation:sha256:c787602ef122fec862a91eccd6c3d3c7da2cbb5ddd31f79cccc4f8a5dc3b156b	certificate:sha256:bc824bacdb97916d7c046e7e91409fc41632ee75495798957113c20b06b23cd5
workflow.planning	workflow.planning.projection-completeness	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:757280755de382a471111f6eb355dc8f1d94033d903281edb3fe60d6634da73a	coverage-attestation:sha256:80f3a9336309762bee9764559c351045078e49f98d0eb0909739d1d0bab331c8	certificate:sha256:0089e8848c1dde5f916d4d7b9a45bea02065933d481dc4a8a4f40c742f4055e0
workflow.planning	workflow.planning.replanning	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:653c30208749f2a7ff0f447c87fee48c0c0d7ace642a351650ffe7ff30dd5983	coverage-attestation:sha256:84c6ada451f1fa8694b9b1c9e5d0321c3777c50885e185fcf941d91d97c8f6cd	certificate:sha256:a9fa37ff12f4540f140c80e5c1c802c7551d0157f3621b90fae3665abe5cccc0
workflow.planning	workflow.planning.repository-isolation	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:e9e2b4c204e3ad6bb2b51fcff1cd191d9202a2ed6af616096252053e380805fa	coverage-attestation:sha256:3827ea0ba92bc1496d057cfe20800e8c6aabf389d0ceae9b10e9f5ea4267bfaa	certificate:sha256:0e21d036b6d2c8e0d7b9ae2723f8e0195c1de504ffe05e9996a93f7138ddf786
workflow.planning	workflow.planning.systemic-finding-replan	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
workflow.planning	workflow.planning.written-plan-applicability	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:5c2b01c95c98cee8e87c8aec30d497f4ab1ea78d9fbf11420a128f2893f667ce	coverage-attestation:sha256:ac452600b08dcbd609ee0e88940a337253c129125001c0b6b9ebd8200abb6ccd	certificate:sha256:67181d87f174143443006b75c60712f7667b99495811cc8ea818de2170ed3256
workflow.verification	workflow.verification.acceptance-claims	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
workflow.verification	workflow.verification.differential-evidence	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
workflow.verification	workflow.verification.evidence-oracle-boundary	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
workflow.verification	workflow.verification.negative-fixture-isolation	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
