source_branch	source_tip	source_commit	source_subject	patch_id	mapping_state	accepted_commit	accepted_subject	subject_relation	integration_mode	verification_result	accepted_candidate_count	parent_count
codex/m6-c4-admission	0e70d5e22189ab361ac039ec7a97a2ea25b10048	0e70d5e22189ab361ac039ec7a97a2ea25b10048	docs(verification): admit Git index membership	8662791ad8b93dfdb01c8b70620ae2f656b197ef	unique-replacement	8b946bd5e03d3809de8c1a2308ae0f9e86584b38	docs(verification): admit Git index membership	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c4-implementation	15eadf60e70fbf12e76978267ae83396b773d185	15eadf60e70fbf12e76978267ae83396b773d185	feat(verification): add Git index membership	3a57fa9591b50dfa268f4fcdb432811e5965ca43	unique-replacement	e4e0bfa50ac802f64389ebc673a1421718cef77d	feat(verification): add Git index membership	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-s-admission	c7c89467a3db0127a416eadecc785f6a22de3ac1	c7c89467a3db0127a416eadecc785f6a22de3ac1	docs(verification): admit parent-owned row wave	73d227e4db2c55690a052a677d4c2c52281eea33	unique-replacement	4e22e4046f2c2eb8a540e3d3df64ef48985d1f55	docs(verification): admit parent-owned row wave	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-s1	169321a4251109293dbc299dceb664b9a1272752	169321a4251109293dbc299dceb664b9a1272752	feat(verification): migrate row 20 lifecycle	34e0cb27865ca77d2d6c261b629806797584a7c2	unique-replacement	da971032013511d154b27fc815b483c323d3a922	feat(verification): migrate row 20 lifecycle	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-s2	e938d5ea0a6c9ddae3639f7ff66a0fdfb9969f8c	e938d5ea0a6c9ddae3639f7ff66a0fdfb9969f8c	feat(verification): migrate row 21 lifecycle	0f85e2d18573eb9ed5fb6fb154a2c7cd1ba46ee1	unique-replacement	6b9f775c9a94129c2e380163d7e86dde84f1c13b	feat(verification): migrate row 21 lifecycle	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-s3	8e09f1f52b4bdc1d179a0988a7d25bf58cf3203f	8e09f1f52b4bdc1d179a0988a7d25bf58cf3203f	feat(verification): migrate row 22 lifecycle	825f1a85f763c89a983fb058c00fdb4b13b61c88	unique-replacement	aa7f2fd0c0aa125fb1d3b749481f08286afd67fc	feat(verification): migrate row 22 lifecycle	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-u0-repreflight	3c971e5230d670aed87f407a9b9a803cfdfde198	3c971e5230d670aed87f407a9b9a803cfdfde198	docs(verification): freeze semantic package wave	53ee870977ef609f39fc4317ef9d29a41b780d45	unique-replacement	46e8926a940c39e366c8280a088d3ae4f8d54792	docs(verification): freeze semantic package wave	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-u1-proposal	7f85995fc29fc1fcc01ae86cc48afe779e6f1da4	7f85995fc29fc1fcc01ae86cc48afe779e6f1da4	feat(verification): prepare contract adapter suite	d3b549924a2f4f353b0454bade64517648628079	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u10-proposal	0dc1ae2f01a00afcc705e888a34afce7432281ad	0dc1ae2f01a00afcc705e888a34afce7432281ad	feat(verification): prepare plan template suite	fc98ea45e229ec65498aaf89bf61d6480dd4ae4c	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u11-proposal	e91e77a5d35fed02992513661b9a8e08dcda69d4	e91e77a5d35fed02992513661b9a8e08dcda69d4	feat(verification): prepare review template suite	4eef6c1d5689faf459d9a1f01fa64c906ba90edb	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u12-proposal	cbbb4c2699d75b9e0e8b58d237f5055038cb797b	cbbb4c2699d75b9e0e8b58d237f5055038cb797b	feat(verification): prepare Rust no-std suite	f6c0490ec8189e5393a5076e7e9f812e583fa9c7	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u2-proposal	8945e1f95bc3cb08c1dbe5cfa2a3eec322de7799	8945e1f95bc3cb08c1dbe5cfa2a3eec322de7799	feat(verification): prepare frontend applicability suite	676596177c9cefbb9c170aaf9b316f42e6db511b	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u3-proposal	b301e7ae893a86666567d240d75f7b3d63166bc4	b301e7ae893a86666567d240d75f7b3d63166bc4	feat(verification): prepare frontend lifecycle suite	d309f15c51ac6b770bd90d9a02898e765ed3204e	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u4-proposal	e59cabe1dc6db258cc2557649f69b6e969fd01dd	e59cabe1dc6db258cc2557649f69b6e969fd01dd	feat(verification): prepare frontend tooling suite	3f48a8205c221edf7e6cde48af8b7fd5ade9d144	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u5-proposal	d73d2c9d73f671bc6c583a8725097a65854ba984	d73d2c9d73f671bc6c583a8725097a65854ba984	feat(verification): prepare durable mutation suite	14ca31f012156e0fd4de9627b116a6d543c09fca	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u6-proposal	e0866fb47eae6427ef79465bd4ba7b2c1941d765	e0866fb47eae6427ef79465bd4ba7b2c1941d765	feat(verification): prepare migration execution suite	7744c69aee4e7548abce5d255b246def50c7757d	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u7-proposal	943826651d81cf1ad282056234b5a1d014084ec7	943826651d81cf1ad282056234b5a1d014084ec7	feat(verification): prepare planning admission suite	226875ae1071f5ace6036ef01e9cb823bfd6a016	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u8-proposal	d3611f3d448137690a3d00b937d3f6b55868b5a6	d3611f3d448137690a3d00b937d3f6b55868b5a6	feat(verification): prepare implementation prompt suite	1312f53f0dfde6ca35e4e4dfce1770b3e321de0c	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m6-u9-proposal	ea9c8580e29bbccd0e40745d02536d27b8f12eb9	ea9c8580e29bbccd0e40745d02536d27b8f12eb9	feat(verification): prepare review prompt suite	4e6d22ffa21ad5da94df88ac39c26524b6a794a6	unmapped			not-applicable	not-applicable	not-accepted	0	1
codex/m7-accelerated-replan	5ba38d54f8dc3c3277752baf3534d188c4404c46	5ba38d54f8dc3c3277752baf3534d188c4404c46	docs(planning): accelerate remaining standards migration	89c2ebd676a46e9ab8a0660bf4a0e1fb60152257	unique-replacement	bad40abe77c0b81107c9ac41cf95a74f743b6e40	docs(planning): accelerate remaining standards migration	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-architecture-owner	b48bcc06a5f92ce95a0a689a0b37b70fcaed500c	b48bcc06a5f92ce95a0a689a0b37b70fcaed500c	docs(architecture): establish canonical owner	8eee187a5628c3b20bd92dad9951bcb88133c68b	unique-replacement	c13e25d3d7f3fc0a5238eae1aba5e9ddefc41ab8	docs(architecture): establish canonical owner	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-architecture-population	7361ec2d5ccd1af32d45972c557887a19533ece9	7361ec2d5ccd1af32d45972c557887a19533ece9	docs(architecture): migrate coding boundaries	4c74c742f146c99aeb5dcf185007cb261b4d9320	unique-replacement	a85fa6046285c5eef5f75c30a3691742b673a28f	docs(architecture): migrate coding boundaries	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-artifact-compatibility	847de5f8126663c7aaf0bdf04f5bf6911ee7b577	847de5f8126663c7aaf0bdf04f5bf6911ee7b577	docs(contracts): govern binding artifact compatibility	1b3ad78d7b202f2cb706c880d8adc3af50fd8af8	unique-replacement	3bf2809cd12e69d959b7acf0e414701f3a330272	docs(contracts): govern binding artifact compatibility	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-artifact-composition	94a2a78e3469aa50e4eceaabd1a8d0f4ad749615	94a2a78e3469aa50e4eceaabd1a8d0f4ad749615	docs(release): govern binding artifact composition	e72e5710d2f253851a3527e0a3702b95d13d94e7	unique-replacement	8fa65bbd122a21807e1852335df55eba3b58c7c5	docs(release): govern binding artifact composition	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-contract-evolution	34a8dc47b37e8f5804112f6c9c32e4f57b1ac4ae	34a8dc47b37e8f5804112f6c9c32e4f57b1ac4ae	docs(contracts): govern binding artifact evolution	f23d77d90efa5ed06731a3fc7a40eeb36dedd268	unique-replacement	dd53f89ba813db49472ed5659256f37cbd1d3e1e	docs(contracts): govern binding artifact evolution	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-generation-authority	168f5d1f1da606fde188fe6974f272dd7ebbf091	168f5d1f1da606fde188fe6974f272dd7ebbf091	docs(contracts): govern binding generation authority	793898a48131de215212922efcf6bc5035cb9a5d	unique-replacement	e6e6888e1fa025ddd6580e5ab7df937d44fe8a4e	docs(contracts): govern binding generation authority	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-generation-decomposition	2c02819975ca5402196d026edb4382b1bacc5d07	2c02819975ca5402196d026edb4382b1bacc5d07	docs(planning): decompose Rust binding generation row	856c39e3ebe33507ec1841e99553fb66139f55a3	unique-replacement	31b64d6a87b54b4f120c83b59e114d18de666db6	docs(planning): decompose Rust binding generation row	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-mechanism-selection	d61a98e8b9e69dea9ff8e4d48652f82190ea067d	d61a98e8b9e69dea9ff8e4d48652f82190ea067d	docs(bindings): select mechanisms from boundary facts	c42a187ee32b84532cbb2ac0d28df303558e75a5	unique-replacement	0aceaa473e057815032d3bbf1777bddb6398bfa9	docs(bindings): select mechanisms from boundary facts	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-binding-surface-contract	27d9ab681e67e35682752dc49bab0bd0ccd3315c	27d9ab681e67e35682752dc49bab0bd0ccd3315c	docs(bindings): govern exported surface contracts	e0dc54f0c925c20b02cc307315ecbcc4ac06e257	unique-replacement	89b0a72a9a7e0932a1b9dd18083286062d212212	docs(bindings): govern exported surface contracts	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-ci-orchestration-replan	5d53a357145152aafca3ab6d6dd3ed418e1b9bef	5d53a357145152aafca3ab6d6dd3ed418e1b9bef	docs(plan): split CI policy from provider recipes	208cc08bdae0d4d9548acb522d3610db2cb99e0a	unique-replacement	6b7dd333a0958d63059184510588ded82443dc89	docs(plan): split CI policy from provider recipes	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-concurrency-specialization-replan	24d26a8ad2cc2ae9bbc556c2a88a65c8d5d3f396	24d26a8ad2cc2ae9bbc556c2a88a65c8d5d3f396	docs(concurrency): decompose async specialization row	81108bc2feb30182e271649f4ee22f9be34069fe	unique-replacement	ee42dad83d951829c7d516376528645628a5a84d	docs(concurrency): decompose async specialization row	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-contract-boundaries	a15d44a54017fd61fce8a56d7ed3f7f869dabff8	a15d44a54017fd61fce8a56d7ed3f7f869dabff8	docs(contracts): govern directional boundary proof	58d35e1d16a415512fbb7fa3d53594dafc1cac9b	unique-replacement	29a1aa1171b2468979b13f21b0314e7cf45d6acd	docs(contracts): govern directional boundary proof	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-contract-invariants	ac9745a64ff16f9ecd00a355c707169c48cef039	ac9745a64ff16f9ecd00a355c707169c48cef039	docs(contracts): govern invariant obligations	fbfeb81873077403bdf30a799d77e8eca8d7bbbc	unique-replacement	8b7ff7e61ce552a1611d257cef050949b0caa391	docs(contracts): govern invariant obligations	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-core-code-discipline	ee9ec5a8182f2f021a75a571db70644bb850ed01	ee9ec5a8182f2f021a75a571db70644bb850ed01	docs(core): govern code and terminology discipline	815b0531e6be007943025924f6a8fedf0e5b4a55	unique-replacement	4e15a2321749c180220fc7f84902258b308082e9	docs(core): govern code and terminology discipline	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-core-constants	e700a02573b0799638c61f3f94dbe1ffec1f38d6	e700a02573b0799638c61f3f94dbe1ffec1f38d6	docs(core): govern semantic constants	478ff0a7e1557e934e780597dc60099db7320a96	unique-replacement	302006943a934b9e93614865e0dcca04f708d5ab	docs(core): govern semantic constants	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-core-simplicity	2129213fdb1cb460f5fa26bbba7674af09909749	2129213fdb1cb460f5fa26bbba7674af09909749	docs(core): define non-metric simplicity	33f5ffa0be40b4196688d54524384e9e56e21dc8	unique-replacement	38a01a004c94ac7e8a93f087cf290ef01c778f0a	docs(core): define non-metric simplicity	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-csharp-async-index	beec53cc95f22bd0dad1d1440f6f2d45026ae195	beec53cc95f22bd0dad1d1440f6f2d45026ae195	docs(concurrency): close C# async parent index	f9c170383639bcaec26b411ca256499263742ff9	unique-replacement	25e4103ed146249b17cb2ebf52680593891f5261	docs(concurrency): close C# async parent index	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-csharp-async-owner	252574b2ea55f405ad210abb05fdde3721a0efc2	252574b2ea55f405ad210abb05fdde3721a0efc2	docs(csharp): establish async specialization owner	5a63e5143d3d8a7bf8e79cbb2aa69cfbaade9516	unique-replacement	aeb1a78569b1d586e235e683341bb0ac0f007a46	docs(csharp): establish async specialization owner	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-csharp-async-population	8dc10b38ccdc737f16eff75f37e09d125fad012b	8dc10b38ccdc737f16eff75f37e09d125fad012b	docs(csharp): migrate continuation scheduling policy	5595dd1d54628bdf87160620b79b0b6613428e53	unique-replacement	e4a67f15a09fa46eba570711a90bccd9ba5a6869	docs(csharp): migrate continuation scheduling policy	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-decision-table-foundation	e9016aa5514e1abac8ec81a08358627351d6dfc8	e9016aa5514e1abac8ec81a08358627351d6dfc8	test(evaluation): add reusable decision tables	6bb38903392a4cf7a0dcfd6cf0266e53a9914038	unique-replacement	ab2a88e29e486374eb97d4880b483086ec1b2683	test(evaluation): add reusable decision tables	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-dependencies-consolidation	911164a089492690733410915b1f5fb03b491cfe	911164a089492690733410915b1f5fb03b491cfe	docs(dependencies): consolidate legacy standards	a007f9332feda52b14e3dd064a44dcef99fe7d95	unique-replacement	c863e87e357e526848fcb8b3fa86540717ef0e01	docs(dependencies): consolidate legacy standards	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-dependencies-owner	3434dfa1667eb43e0a3b0f7cc27ed165fb4636d2	3434dfa1667eb43e0a3b0f7cc27ed165fb4636d2	docs(dependencies): establish canonical owner contract	84c1f36e251be800d8da5097fe6fade6ef896f64	unique-replacement	a32bd8872f90f9c812f89c757b96a7e72636c569	docs(dependencies): establish canonical owner contract	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-dependencies-population	84c739eb70643ef83ea1ae41837759dc2873d085	84c739eb70643ef83ea1ae41837759dc2873d085	docs(dependencies): migrate launcher provisioning policy	0f6c3ace461ed70fbd0a79613f76c43fa7572ba7	unique-replacement	9e8e36c98db40dd20c454dab5fbfe35b5e6d7ccf	docs(dependencies): migrate launcher provisioning policy	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-dependency-route	83304797747390a5c602ae55511cb97d25beadf2	83304797747390a5c602ae55511cb97d25beadf2	docs(dependencies): route coding index directly	c22873f1d84b6d8cc9d79912beea5445a7cebff6	unique-replacement	3c54db068749d51f763c52bf30dbf168383de26d	docs(dependencies): route coding index directly	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-disabled-lifecycle	92a8b2c5f19f889b2281aeabd49ee9575b97e0c5	92a8b2c5f19f889b2281aeabd49ee9575b97e0c5	docs(implementation): govern disabled behavior lifecycle	2a2b095614733057e42bcb3d8947d8f8b1070766	unique-replacement	82a2a9bcacdaff5da6ba94cde41f73f31999eaa7	docs(implementation): govern disabled behavior lifecycle	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-disabled-verification	92406e4303519fa168816f0e9aa00d5c711e6505	92406e4303519fa168816f0e9aa00d5c711e6505	docs(verification): derive disabled behavior claims	a8032b2b60602e715154d9f0a919f8c621b0fc3b	unique-replacement	69f67b6e57ebfdff92a4ca3d0a7b499cdd5a748c	docs(verification): derive disabled behavior claims	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-formatter-command-recipes	e176190fcc3187778ee842c5d5f45fcbbd3f000b	e176190fcc3187778ee842c5d5f45fcbbd3f000b	docs(tooling): extract formatter command examples	ff8ad7e796ba289ddb88cc505a6c16b774c02ce8	unique-replacement	2e7048e4d65d69081173a4ac8d5fc9fa8cc29faa	docs(tooling): extract formatter command examples	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-formatting-policy	96eec500617fd6efdde65f178e2274f5d3be8139	8cf22d8f8488af65eb7dcb49e2435be3fb522d0b	fix(tooling): finish TypeScript recipe extraction	17dee07203519617dc016969bbfabdfa0e31795c	unique-replacement	d2a75f0f69b6191be198396feb1fa1270fd53a10	fix(tooling): finish TypeScript recipe extraction	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-formatting-policy	96eec500617fd6efdde65f178e2274f5d3be8139	96eec500617fd6efdde65f178e2274f5d3be8139	docs(tooling): govern formatting orchestration	be41f05fe02e489271d918d44b13b114ca94fdf5	unique-replacement	1de0320ed2ab015d596d284115d75c4f5596a704	docs(tooling): govern formatting orchestration	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-formatting-replan	70524c9fcf1ae1c5de2f218ee168d671e3091a8e	70524c9fcf1ae1c5de2f218ee168d671e3091a8e	docs(plan): split formatting policy from product recipes	b59dea00bd54cb2622a502aebaa73d8c236f4b59	unique-replacement	24fdc850315f0ffa733444e12dd019a6e95e581f	docs(plan): split formatting policy from product recipes	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-frontend-owner	00f4d6c7571cdbd232c09d40f92497de00851de8	00f4d6c7571cdbd232c09d40f92497de00851de8	docs(frontend): establish application owner	82e3a1d1954d623b7b815160a4b63b82fa315242	unique-replacement	001440068d9f0a4af537eff2224242521fa1c9c0	docs(frontend): establish application owner	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-generated-command-security	c251eaffd71b95ab7ecc9bc3634ead3eb745b550	c251eaffd71b95ab7ecc9bc3634ead3eb745b550	docs(security): govern generated command text	bbd319ad4b6b9013119cb5635c9525342dbc501b	unique-replacement	a56fd90b99c97e7c68fa9337930d26bf9b6d9fdd	docs(security): govern generated command text	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-godot-owner	c7f3cd5fc8a5099b0b0d89b17cfb201ffaf720b4	c7f3cd5fc8a5099b0b0d89b17cfb201ffaf720b4	docs(godot): establish framework specialization owner	b27c725fe8dd1f34364e5d7f91bdf7e123c9a658	unique-replacement	43949cb78eabf941e3d595cd23c8da25cf7f2909	docs(godot): establish framework specialization owner	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-godot-population	3a572d7f3519a3f0e755d37402abe4a5f8765650	3a572d7f3519a3f0e755d37402abe4a5f8765650	docs(godot): migrate affinity and lifetime policy	2cebd04021174ee24db4447a62621754f8b77047	unique-replacement	a3009da993872986beecc80accea8aad991d84b9	docs(godot): migrate affinity and lifetime policy	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-gui-smoke-verification	16e8e8ada460167fc4f95e8bbe2a857badf06efd	16e8e8ada460167fc4f95e8bbe2a857badf06efd	docs(verification): migrate GUI smoke evidence	681ab996b5e571f2fdec42ed39e7007e8efb2892	unique-replacement	9d9500364f17548fd93263a3d65ee61664be6382	docs(verification): migrate GUI smoke evidence	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-language-routing	a8cb14dde453e8d2750c4cbc05fd0e97c93a5c04	a8cb14dde453e8d2750c4cbc05fd0e97c93a5c04	docs(router): canonicalize language profile selection	be54e46abcdf8c0d42e58f49e053e8188cbc3a6e	unique-replacement	61c033885a4cd802626b5e4eb528b0b96c35da44	docs(router): canonicalize language profile selection	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-launcher-owner	812f335b59fb49bcb9774aab937c9e46a27b22d9	812f335b59fb49bcb9774aab937c9e46a27b22d9	docs(launcher): establish application owner contract	714ea46eda1be6eef2189e956777dc6c2670254c	unique-replacement	64923362dd14a3855c5a8ad865cbe9392a5e01fd	docs(launcher): establish application owner contract	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-launcher-population	8e12d60e03f14d39224505921b27cb67d2cf468d	8e12d60e03f14d39224505921b27cb67d2cf468d	docs(launcher): migrate command lifecycle policy	163678522afae5eeba3eac7b997eac7cd705af8c	unique-replacement	87ad120646ead7ac6b56bbb10d2952102f7be6be	docs(launcher): migrate command lifecycle policy	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-launcher-row14-decomposition	be5d4ef46317aa010a414c2e604eea21792a1995	be5d4ef46317aa010a414c2e604eea21792a1995	docs(launcher): decompose migration row 14	67728a2c3b254b2fdd22d08817a3b1b87b29121e	unique-replacement	922d12c7c2676f59e7a28ee1723a04228b855700	docs(launcher): decompose migration row 14	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-licensing-owner	d24ada37cd1fa2cb19a38ea6ed0ac653d0e0423d	d24ada37cd1fa2cb19a38ea6ed0ac653d0e0423d	docs(licensing): establish canonical owner	c894b8108e1aa5f27388d239f8b77011e5a652b3	unique-replacement	fec2c9fd794c40b2b6e6504a3ae725f1bd734f3a	docs(licensing): establish canonical owner	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m7-performance-owner	eebbd81eb9928eee24def75e777e077b1766ef2c	eebbd81eb9928eee24def75e777e077b1766ef2c	docs(performance): establish canonical owner	dde1cc17ab3711b552bbc11a3236a700654b3239	unique-replacement	d8cdf20f787bde3e3c4cfb4fa47c5bd47e840a4f	docs(performance): establish canonical owner	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
