oid	historical_paths	pre_prune_reachability	historical_patch_state	historical_unique_commit_count	confirmed_unique	protection	recovery_ref	verification
0fb939d608b37e3d4b3b47f6dd23c1c9842a2d70	/tmp/cs-m6i7-admission-v2	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/0fb939d6	verified
1001a1b6f4885e281b8cd4a4c74555ed261dc601	/tmp/cs-ve083-impl	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/1001a1b6	verified
11aad3abe1403f9ea2bfbb9abb6909cb270a9dfe	/tmp/cs-m6i89-acceptance	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/11aad3ab	verified
123cb3cf2a0029149ed19751269fa2cefac3f8f0	/tmp/coding-standards-planning-recovery	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/123cb3cf	verified
1485c43fd0bf475d7e9f26a37b976325d79b18a7	/tmp/cs-m6-i2-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/1485c43f	verified
1548be1f596add1d77d41b7576d2458dbfc7c608	/tmp/cs-verification-engine-m2	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/1548be1f	verified
16de934332e1d8268822a0180367d91f83db6940	/tmp/cs-m6-q2-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/16de9343	verified
183e061bd8699bc4bf961839ab914279779fdf9a	/tmp/cs-security-close	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/183e061b	verified
1a612437863b4e4effee8a8eb96680a07d32b39c	/tmp/cs-ppr-c2-final	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/1a612437	verified
1a64c2141d391c51b65a66fe91b70a7206182191	/tmp/cs-m6i15-impl	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/1a64c214	verified
1a9b2e1d404a54dbbe2613364131dd73c44d577a	/tmp/cs-m6-q2-integration	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/1a9b2e1d	verified
1c7d39a86cb0102ecb1a460e026b7b0db12eaf59	/tmp/cs-verifier-rust-api-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/1c7d39a8	verified
1eb52f58eb44de73372432585eeca4240417c021	/tmp/cs-7.4c3-row41-repair	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/1eb52f58	verified
22024089bb911655afd4f0f023933fab97e80e42	/tmp/cs-m6-r1-implementation	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/22024089	verified
22d53b7d601eaea22fe25b44b9aeed13d7bcfcf1	/tmp/cs-verifier-rust-dependency-impl	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/22d53b7d	verified
2526282a39ab72a471f5ee5503cc5a2591f8c2a6	/tmp/cs-7.4c3-plan-index	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/2526282a	verified
262e5a2ab59667894604cbe12e222b3a4aae1430	/tmp/cs-7.4b8h	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/262e5a2a	verified
281f34561792854064a2e21e0fc8816eb71cf828	/tmp/cs-ppr-compaction-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/281f3456	verified
286dc75a1a017258d4124225accd537fb462dcd1	/tmp/cs-7.4b7n	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/286dc75a	verified
29809b82a87f012c92cfb28d3aa60239b7d301dc	/tmp/cs-7.4c3-documentation	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/29809b82	verified
2aeeb54e500d5db3d732e227d22e28a9567eaa1b	/tmp/cs-m6-q3-integration-v3	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/2aeeb54e	verified
2b90a2ad8b5e6c75e0409d845429ea1e379e85e4	/tmp/cs-p1-concurrency;/tmp/cs-p1-dependency;/tmp/cs-p1-launcher;/tmp/cs-p1-rust-api;/tmp/cs-p1-rust-cross;/tmp/cs-p1-rust-dependency;/tmp/cs-p1-rust-release;/tmp/cs-p1-rust-tooling	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/2b90a2ad	verified
2dc2879df9107eb245ab120f0ddb5da1e89b561d	/tmp/cs-m6-q4-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/2dc2879d	verified
2e1e101c51ee1d3a604c437cd32143110615a3bc	/tmp/cs-7.4b7d	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/2e1e101c	verified
2ea8b9b833310b30d6234275839db17d18703d66	/tmp/cs-m6-p9-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/2ea8b9b8	verified
3089ae783f51f6d76f07b4411653a787d4deb651	/tmp/cs-m6-i1-plan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/3089ae78	verified
30e9c9bfdad2ba592e4766e03d976dd6f9ac4790	/tmp/cs-ve075	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/30e9c9bf	verified
3309ef01e14704b4cd367d73b0ee6ea145f9acc9	/tmp/cs-7.4b7l	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/3309ef01	verified
34f9792edbfe6c0207029ea868844b2462c28ba6	/tmp/cs-m6-p8-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/34f9792e	verified
353bc08f24e9e04d09e2c4c84afe97a9fb538b32	/tmp/cs-7.4b7h	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/353bc08f	verified
3779426d8389288d0feced0127a7b37e8c76879d	/tmp/cs-m6-q3-readme-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/3779426d	verified
3d014c3b0ef2181452aaaaa570b21db10ab7e53a	/tmp/cs-m6-t3-preflight	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/3d014c3b	verified
3fa05479ded212364100946599874f642ab87cba	/tmp/cs-7.4c3rh	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/3fa05479	verified
42c3ab0e2feaee21e9eeb14ffa6917112c4afcff	/tmp/cs-m6-q3-proposal	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/42c3ab0e	verified
42dfd3e722f5b8ec6d46e255f20eb5eab777369b	/tmp/cs-m6c5-v2	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/42dfd3e7	verified
430d92688e2e06a0536f63cc23fd2b233fdb40ae	/tmp/cs-m6-t12-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/430d9268	verified
475e41ef4c42d807cb923fcb26024e9727fc8d2f	/tmp/cs-security-hs2a	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/475e41ef	verified
47ac3db60b90e2b52f56974462dee1209ec71962	/tmp/cs-m6-t9-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/47ac3db6	verified
4f705747caaa6483e6a56f461f5f9784969e67e2	/tmp/cs-verifier-rust-api-freeze	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/4f705747	verified
4ff2cfd0efee40aa7fe4bd8131da61426df2480b	/tmp/cs-m6-q1-integration	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/4ff2cfd0	verified
5062fb32213bde137ced1844d5e02e83b5efa10d	/tmp/cs-m6-t4-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/5062fb32	verified
52541345c2418647df5af22d0d48dd32a7c93917	/tmp/cs-m6-t9-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/52541345	verified
53a6bcf9429d8b08940e9182b409a34bb434c6b5	/tmp/cs-7.4b8d	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/53a6bcf9	verified
55bd1fe746c8b1c7e1bd2cdd7f8e47c0b0a4e458	/tmp/cs-m6-t10-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/55bd1fe7	verified
55d37c3f1e62d4ceb54309f2b045d6cbb77f0847	/tmp/cs-security-plan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/55d37c3f	verified
56d5aff6d9c68b8ea2bbac14a4224dfb23e44ea9	/tmp/cs-m6i7-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/56d5aff6	verified
56ffb1119bf1a061b72e60d349fd74e8d97ba907	/tmp/cs-security-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/56ffb111	verified
571cbd4c5834636e6aa7f43dba89771d4572de0d	/tmp/cs-m6-v3-proposal	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/571cbd4c	verified
5af0b1a797d1d030376e5fcf0da3533e6cc5259b	/tmp/cs-m6i89-preflight	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/5af0b1a7	verified
5b4751b1962ccf0d7c09be405571691cb829f175	/tmp/cs-m6-p8-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/5b4751b1	verified
5c63cd502ced0bf3c6d52c47362cbb887ddbc7fc	/tmp/cs-7.4c3v1-integrated	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/5c63cd50	verified
5ceb3d339b086d2463eba77d0576a009fc38bb3c	/tmp/cs-m6-t2-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/5ceb3d33	verified
5e17b41141ed6c5bb68a5102df95de39cb930e77	/tmp/cs-i10-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/5e17b411	verified
5f2de05bdd6c4a51c7def0bcd9aa81c4be6d558e	/tmp/coding-standards-planning-profile	registration-only	unique	1	no	recovery-ref	refs/recovery/historical-worktrees/5f2de05b	verified
6052c672ab1ad1335964ccf47d257d2b7990a756	/tmp/cs-7.4b5d	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/6052c672	verified
6319a55759027fb6c718ef964220912f30ac05df	/tmp/cs-7.4b7c	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/6319a557	verified
64a913a9af84114734e46ddf1de30beda1cf4811	/tmp/cs-m6c5	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/64a913a9	verified
64ae38764f8e99ef0083d8d52a1afd7100f80bd0	/tmp/cs-m6i11-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/64ae3876	verified
65e9dbf1f9f1e15d2d140c318306cbf508164e30	/tmp/cs-m6i7-admission	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/65e9dbf1	verified
67417cd21c1618c200b177b5e03f9157e99f9a2e	/tmp/cs-m6-t1-impl	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/67417cd2	verified
693379a4ab35f28bd94a6ecc6235e597be40936c	/tmp/cs-ve070-plan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/693379a4	verified
6ac7f66f7c514502ddce5fffffd934809a678205	/tmp/cs-m6-t11-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/6ac7f66f	verified
6acf43acea1df0ef1485f899cfa78f194899db56	/tmp/cs-m6-t13-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/6acf43ac	verified
6b87f354e47901a51ba212acb2b169e1f1d90f9a	/tmp/cs-m6i16-impl	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/6b87f354	verified
6c323f6f001ec36c359a65b333358c57824b08ee	/tmp/cs-7.4c3-2	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/6c323f6f	verified
6cc2e14c099bc8642ae411546e6e4c7512e682ea	/tmp/cs-m6i11	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/6cc2e14c	verified
6d28f96c396a7c9fb4291aa5113bcd0ab8e0c9cb	/tmp/cs-m6-t13-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/6d28f96c	verified
6e21cc46ea34f95d4019e7d9b007343900ed2884	/tmp/cs-7.4c-plan	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/6e21cc46	verified
6fd3ac5c5340c736d182626348fe6b55c2de2f32	/tmp/cs-m6-i3	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/6fd3ac5c	verified
70448ce56f0a10e0b48559c886161c64a250e1b7	/tmp/cs-verification-engine-m2p1	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/70448ce5	verified
73bf4e9a9ff381222cf5a2b4453bec68dc0ab278	/tmp/cs-m6i13-impl	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/73bf4e9a	verified
7449db477c689141e1dfe1b143f0a0a90e71c716	/tmp/cs-m6-t12-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/7449db47	verified
74d462210e47d966e8b0d07043f91c408bb02401	/tmp/cs-cross-platform-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/74d46221	verified
75f613dcc346ee1ed08a039899fbf33f8a94d74e	/tmp/cs-m6-q4-scope-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/75f613dc	verified
760351d368a2657636abff3384895c70ba52df29	/tmp/cs-ve074	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/760351d3	verified
764d18519a449957a1bfbb9487997c2fd88ea1b3	/tmp/cs-m6i3-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/764d1851	verified
79323ea27ed311e0f2c53ddfae4f8dbb93ece555	/tmp/cs-fresh-package	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/79323ea2	verified
7a25bd85a33f2000295f0be95bd51d70fa1d1b77	/tmp/cs-m6i16-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/7a25bd85	verified
7b5573ebba978273f9e2603a001f7d704f588400	/tmp/cs-verifier-standalone-freeze	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/7b5573eb	verified
7d74113aa8436d29b9c31f92d22f833bda74709b	/tmp/cs-ppr-numeric-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/7d74113a	verified
7dc3ddf2bb922a96cd561a7702b51f30408dddf8	/tmp/cs-7.4c3p	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/7dc3ddf2	verified
7e2dd88bd5f8d8d31e248d9e23be7efaac832b15	/tmp/cs-7.4b8c	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/7e2dd88b	verified
7fc8b373664f12f2ae681d6f14690c899653af44	/tmp/cs-m6i15-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/7fc8b373	verified
804e53582d0cf3a9fd966c014efdfd4e4534ced3	/tmp/cs-m6-t11-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/804e5358	verified
809f2ddbe9423445c2aae6c90a59795d3cb6daba	/tmp/cs-row47-impl	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/809f2ddb	verified
80c145ad043be6deb03e88259cdf0360ee2e94cf	/tmp/cs-7.4c3v1;/tmp/cs-7.4c3v1r	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/80c145ad	verified
815da425877dc7caa6872afcd16a3a5386af4b13	/tmp/cs-m6-p-atomic	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/815da425	verified
821dec6445b674cfffe40b918d122cd97025ef1a	/tmp/cs-m6-q3-integration	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/821dec64	verified
8318201fdd04fa5a1cc97b1258fc1b8b8fb83137	/tmp/cs-7.4c2	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/8318201f	verified
86b907303a68ef84260c75a82bccf8956e715faa	/tmp/cs-m6i4-preflight	registration-only	patch-equivalent	5	no	recovery-ref	refs/recovery/historical-worktrees/86b90730	verified
86d35ca1b7453f14b143773fc18a1587299d5db2	/tmp/cs-i10-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/86d35ca1	verified
876b68ac5a11402e06c77d0be9dbb72c38ec38ad	/tmp/cs-m6-q3-readmission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/876b68ac	verified
877d807631c5fd038368f7511cf208df4eddc3a0	/tmp/cs-7.4b7i	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/877d8076	verified
883d554da4ed089b3d7fcebb850e4e2264375d8d	/tmp/cs-post-ve072-audit	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/883d554d	verified
89584f65b348b65e964a749ef5cea9fde0875b90	/tmp/coding-standards-plan-consumers	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/89584f65	verified
8972a39fb39e243af371cc2a06b41139694aff40	/tmp/cs-parent-compaction-v2	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/8972a39f	verified
8a3edb06c061629428205a7437aeb945d5c686a2	/tmp/cs-7.4b7o	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/8a3edb06	verified
8a9db721dbfbf24c36f966b4db6431d216c5d06f	/tmp/cs-7.4b7m	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/8a9db721	verified
8d72ab3ee531fc17ffb30c8c798413695106188e	/tmp/cs-m6-q-w1	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/8d72ab3e	verified
8da6e812a233742965e819e6ccad55a31a04f013	/tmp/coding-standards-ppr-c1	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/8da6e812	verified
8e2d82869d32960e57b7eea872d72d56725ab966	/tmp/cs-m6-t3-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/8e2d8286	verified
905b7d8db1e2204f186dc511120331938786339d	/tmp/cs-m6-t12-accept	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/905b7d8d	verified
9088f864ebfe15e282ed69235b8cfdad6842cac1	/tmp/cs-m6-t8-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/9088f864	verified
90a2b6739c93d5096b9c1a5b483f88b6f0992362	/tmp/cs-ppr-numeric-engine	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/90a2b673	verified
9140457c36434343aa2e346d89ca8a71f21a9a31	/tmp/cs-integrate-concurrency	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/9140457c	verified
9203442e347c8b95005a5597238d8e536461eca9	/tmp/cs-7.4b7f2	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/9203442e	verified
935196b50a3118efae110188b33687ac7e993971	/tmp/cs-m6-r1-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/935196b5	verified
93dd1d4b312aaa834bef9382678d3d1546176de9	/tmp/cs-m6i14-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/93dd1d4b	verified
948182702d8b6e8bc1e869916a6ed7d5dbdee87f	/tmp/cs-post-m6-i2-audit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/94818270	verified
954aa77e8582d0ef75b8788d50642ff03e5ca912	/tmp/cs-7.4b8f	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/954aa77e	verified
9658c18beb4ca710e7519e5467f02a8c18699d5a	/tmp/cs-7.4b7e	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/9658c18b	verified
98cb81bff57bfeaf0648888ec59546cfff430224	/tmp/coding-standards-planning-profile-final	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/98cb81bf	verified
9abb5f6df722214e80ece21cb3114734a81498a6	/tmp/cs-ve081-cap	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/9abb5f6d	verified
9b11ff4ad2a603fb1064423a9fb51c2321add054	/tmp/cs-m6-t6-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/9b11ff4a	verified
9e67fe519babc2f3a8cdaa93c198e74e0e272601	/tmp/cs-ve050-heading-policy	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/9e67fe51	verified
a134456eb21ae75eb41a05015af0829960a6a4ce	/tmp/cs-m6i11-admit	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/a134456e	verified
a1a6b2fb462896bbec75803cb1ae069e9520e560	/tmp/cs-m6-q1-proposal	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/a1a6b2fb	verified
a57ab456f801adff1855ee0fcd4e4a26fc0bf983	/tmp/cs-m6-e1-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/a57ab456	verified
a6dbadd57639681863a8918d03901b2be31c8906	/tmp/cs-security-integrate	registration-only	patch-equivalent	3	no	recovery-ref	refs/recovery/historical-worktrees/a6dbadd5	verified
a84a2a654677ddd2fad9367175254e4900d707c5	/tmp/cs-verifier-typescript-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/a84a2a65	verified
a983386fde2b2ad600a7cf71a1e07ef5c0b4bc85	/tmp/cs-security-hs1	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/a983386f	verified
a9acff7c37b9acc2d00c0ce0c312783d1e2bdd39	/tmp/cs-verifier-tooling-freeze	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/a9acff7c	verified
aae4debf9ed7e875faf90c44789a39f9699bcb7c	/tmp/cs-m6i12-preflight	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/aae4debf	verified
ab19877d6850ddd0f7672904807a24e4a48a2039	/tmp/cs-m6-i1-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/ab19877d	verified
ad79580a1c37dfe59321af73a46c550e5ac6fcdb	/tmp/cs-m6i13-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/ad79580a	verified
ad98d3a13e5662723f03b1865921bf02fda37d6d	/tmp/cs-verifier-rust-dependency-freeze	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/ad98d3a1	verified
afd83f6370c1db3f6146413a947eaa0f76330304	/tmp/cs-verifier-release-impl	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/afd83f63	verified
b1100ac3ede8b39a9f01e5f4f040256797f16c86	/tmp/cs-row47-worktree	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/b1100ac3	verified
b1f9100a6502b942281796ab9e258681e2cc1ccb	/tmp/cs-m6-q3-scope-replan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/b1f9100a	verified
b2e65d2762739fdda6abfde482b4dc1b3c715b8f	/tmp/cs-child-compaction	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/b2e65d27	verified
b341698d3e9eed3cb7ba13f8b68315f3bf1109f6	/tmp/cs-m6-q3-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/b341698d	verified
b349a2c44b94478efc4220f5618451820d191501	/tmp/cs-parent-compaction	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/b349a2c4	verified
b61e024c4eb25d3b730dc47cdb51453b4bb0d2f0	/tmp/cs-m6-q3-integration-v2	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/b61e024c	verified
ba81cf71c0a8ffd4907ef931257799a4f380b278	/tmp/cs-7.4b7j	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/ba81cf71	verified
bd1387c8731c4f32d543628225296eca5f21d3c1	/tmp/cs-m6-q4-integration	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/bd1387c8	verified
bd1c392a4a6f2333612722d179c2bd4cadd2e3d7	/tmp/cs-m6-t7	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/bd1c392a	verified
